,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.43,0.85,0.94,0.76,0.94,0.82,0.2,0.21,0.19,0.26,0.17,0.23,0.1,0.17,0.15,0.14
e_1,0.58,0.43,1.11,0.93,0.98,0.99,0.25,0.21,0.21,0.26,0.19,0.26,0.14,0.24,0.18,0.14
c_1,1.02,0.77,0.4,1.19,1.01,0.87,0.29,0.13,0.24,0.26,0.19,0.18,0.14,0.17,0.18,0.15
d_1,1.03,1.14,1.03,0.39,0.9,0.86,0.24,0.3,0.18,0.19,0.21,0.18,0.13,0.15,0.19,0.08
b_1,1.25,1.08,0.6,1.2,0.38,0.99,0.31,0.2,0.28,0.35,0.34,0.22,0.17,0.18,0.21,0.15
a_1,1.46,1.44,1.01,1.39,0.62,0.33,0.42,0.32,0.3,0.35,0.44,0.26,0.18,0.25,0.45,0.2
h_1,1.82,1.92,1.74,1.74,1.69,1.38,0.28,0.39,0.33,0.49,0.35,0.35,0.33,0.34,0.35,0.24
d_0,1.73,1.24,2.03,2.55,2.1,1.67,0.61,0.31,0.43,0.59,0.44,0.41,0.3,0.4,0.34,0.34
c_0,2.33,2.16,3.03,1.2,2.16,1.79,0.62,0.55,0.29,0.56,0.45,0.41,0.29,0.37,0.41,0.23
g_1,2.23,2.08,1.92,1.95,1.98,1.6,0.43,0.42,0.4,0.26,0.4,0.39,0.23,0.37,0.47,0.32
b_0,2.27,1.99,2.9,1.62,2.83,1.92,0.55,0.5,0.24,0.55,0.27,0.41,0.3,0.46,0.36,0.29
f_0,3.01,2.29,2.14,2.32,1.99,1.61,0.59,0.45,0.5,0.41,0.49,0.27,0.34,0.37,0.42,0.19
h_0,2.41,2.22,2.47,2.12,2.47,2.11,0.91,0.57,0.48,0.66,0.45,0.53,0.39,0.45,0.4,0.34
e_0,3.68,3.03,2.28,2.9,2.38,2.31,0.7,0.51,0.54,0.62,0.56,0.29,0.42,0.26,0.47,0.32
a_0,2.81,2.43,3.37,2.35,3.73,3.14,0.67,0.62,0.41,0.71,0.28,0.51,0.37,0.51,0.25,0.32
g_0,2.91,3.01,2.99,2.51,2.7,2.82,0.65,0.62,0.52,0.94,0.53,0.53,0.31,0.43,0.51,0.48
