,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.96,0.58,0.55,0.7,0.56,0.46,0.44,0.57,0.35,0.38,0.34,0.39,0.34,0.28,0.32,0.23
f_1,0.96,0.96,0.58,0.64,0.51,0.36,0.35,0.44,0.34,0.36,0.34,0.27,0.31,0.26,0.3,0.17
d_1,0.68,0.7,0.96,0.52,0.53,0.41,0.43,0.39,0.33,0.56,0.42,0.35,0.37,0.28,0.28,0.29
c_1,0.6,0.64,0.65,0.96,0.83,0.45,0.41,0.35,0.3,0.28,0.28,0.32,0.35,0.25,0.31,0.25
b_1,0.63,0.67,0.65,0.57,0.95,0.66,0.46,0.4,0.35,0.4,0.3,0.37,0.36,0.23,0.29,0.29
a_1,0.66,0.76,0.75,0.76,0.64,0.95,0.48,0.47,0.41,0.47,0.45,0.42,0.44,0.33,0.36,0.3
h_1,0.93,1.17,0.97,0.86,0.76,0.53,0.8,0.62,0.61,0.56,0.49,0.5,0.47,0.43,0.62,0.39
d_0,0.91,0.94,0.81,1.41,0.93,0.67,0.58,0.75,0.53,0.44,0.51,0.51,0.61,0.41,0.46,0.37
g_1,0.94,0.91,1.25,1.05,0.88,0.62,0.57,0.59,0.8,0.58,0.53,0.73,0.52,0.43,0.51,0.46
c_0,1.11,1.07,0.87,1.05,0.87,0.67,0.66,0.77,0.61,0.73,0.88,0.62,0.63,0.55,0.53,0.42
b_0,1.19,1.13,0.96,1.16,0.84,0.51,0.73,0.68,0.62,0.52,0.73,0.59,0.68,0.73,0.54,0.42
f_0,0.87,0.97,1.18,1.07,0.98,0.75,0.73,0.69,0.56,0.6,0.58,0.74,0.62,0.45,0.54,0.74
h_0,1.18,1.34,1.12,1.08,1.02,0.69,0.61,0.64,0.71,0.59,0.58,0.59,0.57,0.51,0.62,0.46
a_0,1.24,1.29,1.22,1.18,0.99,0.53,0.77,0.72,0.67,0.65,0.6,0.65,0.72,0.71,0.71,0.44
g_0,1.03,1.12,1.59,1.05,1.06,0.76,0.62,0.61,0.54,0.7,0.62,0.81,0.62,0.41,0.54,0.5
e_0,1.06,1.53,1.25,1.16,0.96,0.68,0.82,0.68,0.68,0.66,0.69,0.56,0.68,0.49,0.63,0.68
