,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.34,1.05,1.56,0.91,0.98,0.78,1.81,2.25,1.96,1.75,2.14,1.2,1.94,2.62,1.35,2.29
c_1,1.07,2.44,0.98,1.72,1.01,0.82,1.67,2.12,1.2,1.71,1.28,1.87,1.48,2.54,1.75,2.29
e_1,1.24,1.3,2.45,1.03,0.82,0.73,2.07,3.74,1.99,1.61,2.09,1.88,1.88,2.67,1.08,2.35
b_1,1.12,1.02,0.95,2.52,1.02,1.54,1.87,2.02,1.85,1.72,1.47,1.91,1.31,2.34,1.94,2.24
d_1,1.05,0.84,1.07,0.95,2.58,0.91,1.87,1.64,3.64,1.71,2.68,2.49,2.09,2.61,1.97,2.73
a_1,1.19,1.04,1.11,0.95,1.03,3.04,2.01,2.08,2.1,1.73,2.02,2.25,1.24,2.67,1.94,2.78
h_1,1.46,1.28,1.15,1.03,1.11,0.84,3.56,2.26,2.08,2.36,2.17,2.07,1.8,2.39,1.7,3.16
d_0,1.26,1.86,1.0,1.37,0.76,0.64,1.89,3.3,1.6,1.73,1.7,2.08,1.76,3.11,2.16,2.54
c_0,1.24,0.95,1.18,0.89,1.21,0.92,2.21,2.41,3.61,1.79,4.04,2.51,2.94,3.29,2.18,2.72
g_1,1.14,1.1,1.08,1.0,1.64,0.74,1.6,2.1,2.49,3.8,2.19,2.99,2.12,2.9,1.94,2.15
b_0,1.42,1.27,1.07,0.81,1.13,0.74,2.16,2.53,2.52,1.99,3.66,2.29,4.24,3.14,2.07,2.86
f_0,1.17,1.23,0.99,1.12,1.13,1.01,2.09,2.56,2.51,1.78,2.42,3.64,2.08,3.13,3.63,2.64
a_0,1.43,1.27,1.19,1.15,0.98,0.74,2.2,2.7,1.98,2.12,2.54,2.15,3.8,3.32,2.12,2.33
h_0,1.59,1.15,0.99,1.12,1.16,0.86,1.44,2.38,1.92,2.28,2.35,1.93,2.15,2.4,1.97,3.12
e_0,1.43,1.21,0.91,1.11,1.18,0.9,2.27,2.12,2.19,1.74,2.33,2.06,2.01,3.18,3.86,3.01
g_0,1.08,1.11,0.88,1.05,1.54,1.02,2.11,2.24,2.57,1.5,2.54,3.18,1.92,3.2,2.67,2.31
