,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.95,1.2,0.69,0.81,0.72,0.61,0.87,0.92,0.85,0.83,0.94,0.53,0.8,0.68,0.72,0.86
e_1,0.86,2.02,0.65,0.9,0.65,0.69,0.99,1.66,0.86,0.83,0.93,1.0,0.98,0.73,0.98,0.97
d_1,0.88,0.72,2.22,0.5,0.64,0.78,0.95,0.56,0.96,1.85,1.21,1.07,1.18,1.15,1.31,0.98
c_1,0.76,0.69,0.7,2.32,1.32,0.64,0.97,0.96,0.86,0.51,0.77,0.9,0.99,0.94,0.87,0.84
b_1,0.64,0.75,0.84,0.81,2.54,1.53,0.97,0.82,0.9,0.8,0.53,0.91,0.84,0.79,0.72,0.98
a_1,0.78,0.73,0.86,0.83,0.69,3.43,0.91,0.89,1.01,0.95,1.0,1.23,1.16,1.26,0.77,1.18
h_1,1.14,0.74,0.98,0.79,0.76,0.66,1.99,0.96,1.44,1.03,1.06,0.95,0.84,1.15,1.01,1.35
d_0,0.89,0.75,0.5,1.54,0.94,0.65,1.03,1.62,0.94,0.74,0.91,1.12,1.05,1.24,0.9,1.1
g_1,0.73,0.74,1.34,0.79,0.82,0.69,0.88,0.89,2.4,1.01,1.19,1.7,1.09,1.2,1.09,0.83
c_0,0.92,0.74,1.02,0.66,0.71,0.79,1.15,0.89,1.36,1.8,2.11,1.22,1.11,1.15,1.53,1.2
b_0,0.92,0.93,0.98,0.87,0.5,0.45,1.15,1.07,1.17,1.07,1.97,1.18,1.13,1.27,2.35,1.07
f_0,0.69,0.62,1.09,0.83,0.96,0.8,1.02,0.88,1.24,1.18,1.22,2.02,1.41,2.4,1.19,1.36
h_0,1.06,0.71,0.9,0.82,0.77,0.89,0.83,0.93,1.24,1.07,1.25,1.13,0.9,1.25,1.07,1.32
e_0,0.9,0.53,1.02,0.75,1.02,0.77,1.22,1.04,1.28,1.1,1.37,1.27,1.11,2.51,1.03,1.52
a_0,0.89,0.75,1.04,0.94,0.83,0.42,1.12,0.98,1.0,1.16,1.28,1.28,1.12,1.08,2.31,1.0
g_0,0.68,0.65,1.42,0.77,0.89,0.84,1.03,0.81,0.99,1.05,1.15,1.77,1.13,1.13,1.29,0.95
