,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.14,0.86,1.03,0.85,0.73,0.84,0.6,0.6,0.63,0.69,0.63,0.58,0.56,0.69
f_1,1.26,1.0,1.0,0.9,0.86,0.68,0.53,0.64,0.53,0.51,0.56,0.47,0.48,0.61,0.44,0.55
c_1,0.87,1.01,1.0,1.27,1.26,0.83,0.72,0.46,0.51,0.48,0.58,0.53,0.52,0.48,0.66,0.54
d_1,1.17,1.11,0.78,1.0,0.91,0.9,0.73,0.75,0.85,0.81,0.6,0.64,0.61,0.6,0.56,0.48
b_1,0.97,1.16,0.8,1.1,1.0,1.38,0.79,0.83,0.68,0.74,0.61,0.74,0.71,0.63,0.57,0.51
a_1,1.17,1.48,1.2,1.11,0.72,1.0,0.87,0.95,0.95,0.91,0.78,0.68,0.81,0.71,0.73,0.7
h_1,1.34,1.89,1.36,1.33,1.32,1.15,1.0,0.78,0.89,0.87,0.91,0.88,0.72,0.74,0.83,0.87
d_0,1.15,1.46,2.15,1.45,1.34,1.14,1.19,1.0,0.81,0.91,1.08,0.85,0.91,0.81,0.96,0.95
c_0,1.81,1.76,1.81,1.14,1.38,1.14,1.13,1.14,1.0,1.23,0.92,0.98,0.91,0.88,0.91,0.76
b_0,1.68,1.97,2.08,1.29,1.25,1.04,1.13,1.1,0.84,1.0,1.03,0.9,1.01,1.34,0.93,1.02
g_1,1.63,1.74,1.66,1.66,1.7,1.33,1.11,0.92,1.05,0.99,1.0,1.03,0.71,0.84,0.84,0.92
f_0,1.34,2.08,1.92,1.63,1.38,1.29,1.21,1.14,1.01,1.08,1.02,1.0,1.04,0.86,1.44,0.76
h_0,1.6,2.11,1.83,1.64,1.47,1.25,1.32,1.05,1.08,1.05,1.47,0.91,1.0,0.91,0.91,1.04
a_0,1.79,1.69,2.15,1.63,1.65,1.34,1.44,1.3,1.0,0.73,1.2,1.19,1.06,1.0,1.04,1.06
e_0,1.69,2.24,1.58,1.89,1.55,1.35,1.2,1.06,1.09,1.1,1.24,0.74,1.14,1.02,1.0,0.99
g_0,1.54,1.79,1.93,2.06,1.91,1.38,1.17,1.03,1.2,0.96,1.09,1.36,0.95,0.92,1.01,1.0
