,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.4,0.4,0.56,0.4,0.43,0.09,0.14,0.09,0.08,0.1,0.15,0.05,0.09,0.08,0.07
e_1,0.26,0.17,0.53,0.51,0.55,0.44,0.11,0.15,0.09,0.1,0.11,0.13,0.07,0.11,0.15,0.07
d_1,0.51,0.56,0.15,0.51,0.37,0.38,0.13,0.08,0.19,0.09,0.09,0.08,0.06,0.07,0.07,0.04
c_1,0.43,0.34,0.62,0.15,0.51,0.4,0.14,0.13,0.06,0.15,0.1,0.1,0.06,0.09,0.08,0.07
b_1,0.53,0.51,0.49,0.24,0.13,0.44,0.14,0.14,0.09,0.15,0.15,0.1,0.07,0.1,0.09,0.08
a_1,0.56,0.49,0.4,0.47,0.24,0.09,0.17,0.14,0.12,0.11,0.15,0.09,0.07,0.17,0.09,0.08
h_1,0.39,0.41,0.4,0.37,0.37,0.38,0.06,0.12,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.06
g_1,0.45,0.42,0.38,0.43,0.37,0.36,0.09,0.05,0.08,0.08,0.08,0.08,0.04,0.07,0.09,0.05
d_0,0.38,0.24,0.63,0.42,0.5,0.38,0.11,0.14,0.06,0.09,0.08,0.08,0.06,0.08,0.09,0.07
c_0,0.51,0.52,0.21,0.77,0.43,0.33,0.15,0.1,0.13,0.05,0.08,0.07,0.06,0.08,0.09,0.05
b_0,0.41,0.35,0.31,0.64,0.61,0.39,0.12,0.1,0.1,0.04,0.04,0.08,0.06,0.07,0.08,0.05
f_0,0.58,0.36,0.35,0.42,0.43,0.42,0.13,0.07,0.09,0.08,0.08,0.04,0.05,0.06,0.08,0.03
h_0,0.48,0.38,0.38,0.43,0.33,0.33,0.14,0.11,0.09,0.07,0.07,0.07,0.09,0.07,0.07,0.05
a_0,0.45,0.38,0.38,0.42,0.37,0.47,0.11,0.11,0.1,0.08,0.04,0.07,0.05,0.04,0.07,0.05
e_0,0.68,0.51,0.35,0.4,0.34,0.41,0.11,0.07,0.08,0.07,0.07,0.04,0.04,0.07,0.03,0.05
g_0,0.43,0.39,0.37,0.4,0.4,0.37,0.09,0.14,0.1,0.09,0.08,0.08,0.04,0.07,0.07,0.08
