,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.92,0.78,1.05,0.94,0.72,0.7,0.98,0.62,0.87,0.6,0.66,0.58,0.71,0.58,0.64
d_1,1.09,1.0,1.01,1.02,0.85,0.83,0.71,0.82,0.85,0.51,0.68,0.58,0.68,0.4,0.68,0.54
f_1,1.28,0.99,1.0,1.05,0.74,0.93,0.64,0.55,0.61,0.65,0.6,0.56,0.53,0.75,0.58,0.59
c_1,0.95,0.98,0.96,1.0,1.52,0.73,0.76,0.46,0.6,0.61,0.59,0.72,0.61,0.53,0.63,0.5
b_1,1.06,1.18,1.35,0.66,1.0,1.57,0.68,0.7,0.68,0.74,0.62,0.56,0.71,0.55,0.47,0.51
a_1,1.39,1.21,1.07,1.37,0.64,1.0,0.93,0.83,0.79,1.03,0.89,0.78,0.67,0.64,0.51,0.63
h_1,1.45,1.45,1.62,1.34,1.5,1.08,1.0,1.04,1.02,1.17,0.78,0.83,0.85,0.85,0.75,0.86
d_0,0.96,1.16,1.9,2.19,1.43,1.21,1.0,1.0,0.86,0.92,1.11,0.77,0.87,0.86,0.78,0.84
c_0,1.61,1.16,1.65,1.71,1.53,1.22,0.97,1.11,1.0,0.96,1.31,1.06,0.85,0.96,0.98,0.88
g_1,1.14,2.01,1.54,1.64,1.32,0.99,0.85,1.09,1.11,1.0,1.04,1.28,0.65,1.08,0.88,0.81
b_0,1.53,1.49,1.7,1.74,1.64,1.07,1.29,0.89,0.75,0.99,1.0,0.95,0.88,0.93,0.78,1.33
f_0,1.44,1.65,1.87,1.44,1.75,1.34,1.16,1.26,0.98,0.77,1.02,1.0,1.01,0.88,1.05,0.78
h_0,1.64,1.55,1.92,1.67,1.46,1.39,1.24,1.12,1.09,1.57,1.12,1.02,1.0,1.06,0.75,0.7
g_0,1.37,2.41,1.41,1.94,1.67,1.47,1.16,1.14,1.02,0.98,0.99,1.22,0.93,1.0,0.83,0.87
e_0,1.59,1.46,1.8,1.75,2.18,1.72,1.31,1.37,1.11,1.07,1.24,0.95,1.26,1.24,1.0,0.75
a_0,1.51,1.78,1.79,1.89,2.07,,1.27,1.22,1.1,1.33,0.78,1.21,1.38,1.05,1.18,1.0
