,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.01,1.18,0.96,1.05,1.03,1.38,1.05,1.06,1.16,1.18,1.01,1.03,1.15,0.99
f_1,1.29,1.0,0.9,0.95,0.92,0.93,0.87,0.97,0.92,1.12,0.84,0.92,0.82,0.91,1.0,0.77
d_1,1.0,1.11,1.0,0.9,1.02,0.89,0.99,1.13,1.24,0.86,1.05,0.96,1.06,0.98,0.87,1.0
c_1,0.84,1.04,1.1,1.0,1.22,1.09,1.03,0.73,0.78,0.88,0.84,1.0,0.97,1.02,1.05,1.15
b_1,1.05,1.09,0.97,0.83,1.0,1.26,1.05,0.99,0.99,0.98,0.92,0.98,1.03,1.0,0.9,0.95
a_1,0.95,1.08,1.13,0.92,0.81,1.0,1.22,0.94,1.06,1.18,1.32,0.97,1.19,1.06,1.01,0.92
h_1,0.98,1.16,1.02,0.99,0.92,0.81,1.0,0.9,0.93,1.2,0.97,0.92,0.98,0.97,1.12,0.95
d_0,0.73,0.97,0.94,1.43,1.04,1.04,1.12,1.0,0.91,1.12,1.05,1.1,1.14,0.93,0.98,1.05
c_0,1.0,1.02,0.81,1.29,0.95,0.85,1.04,1.07,1.0,1.01,1.36,1.05,1.07,1.15,1.1,1.12
g_1,0.94,0.91,1.19,1.12,0.96,0.86,0.84,0.87,0.99,1.0,0.97,1.07,0.92,0.98,1.11,1.04
b_0,0.86,1.13,0.91,1.2,1.08,0.81,1.05,1.03,0.72,1.06,1.0,1.04,1.09,1.29,1.03,0.98
f_0,0.79,1.05,1.01,1.08,1.0,1.02,1.12,0.93,0.97,0.92,0.96,1.0,1.09,1.03,0.86,1.61
h_0,0.98,1.24,0.99,1.01,0.95,0.82,1.02,0.92,0.92,1.11,0.9,0.91,1.0,0.97,1.1,0.95
a_0,0.95,1.01,1.07,0.93,1.07,1.08,0.99,1.04,0.93,0.98,0.82,1.05,1.05,1.0,1.24,1.19
g_0,0.88,0.99,1.17,0.95,1.1,0.96,0.89,0.98,0.88,0.88,0.96,1.15,0.92,0.81,1.0,1.05
e_0,0.96,1.27,0.98,0.95,1.0,1.12,1.05,0.99,0.84,1.0,0.97,0.66,1.07,0.83,0.94,1.0
