,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.9,0.81,1.23,0.99,0.83,0.73,0.67,0.62,0.92,0.72,0.63,0.62,0.61,0.59,0.59
d_1,1.07,1.0,1.03,0.93,0.94,0.82,0.73,0.56,0.81,0.61,0.64,0.62,0.59,0.63,0.59,0.48
f_1,1.24,0.97,1.0,0.93,0.9,0.8,0.62,0.73,0.61,0.64,0.61,0.6,0.5,0.59,0.45,0.61
c_1,0.81,1.1,1.05,1.0,1.29,0.94,0.72,0.73,0.65,0.48,0.62,0.52,0.63,0.5,0.59,0.56
b_1,1.03,1.06,1.13,0.77,1.0,1.22,0.79,0.75,0.67,0.65,0.6,0.62,0.65,0.54,0.65,0.6
a_1,1.22,1.23,1.26,1.07,0.81,1.0,0.89,0.84,0.79,0.81,0.74,0.92,0.66,0.75,0.72,0.63
h_1,1.31,1.42,1.59,1.41,1.26,1.09,1.0,1.0,0.85,0.88,0.87,0.91,0.85,0.72,0.73,0.92
g_1,1.44,1.67,1.45,1.4,1.35,1.22,0.99,1.0,0.97,0.93,1.03,0.96,0.74,0.81,0.87,0.92
c_0,1.61,1.3,1.58,1.63,1.57,1.21,1.15,1.0,1.0,1.26,1.01,1.28,1.0,1.07,0.9,0.89
d_0,1.13,1.6,1.47,2.1,1.56,1.18,1.14,1.05,0.78,1.0,0.94,0.98,0.95,0.84,0.87,1.0
f_0,1.41,1.54,1.8,1.54,1.65,1.3,1.16,0.98,1.0,1.04,1.0,0.99,0.99,0.84,1.23,0.8
b_0,1.47,1.6,1.67,2.01,1.54,1.12,1.1,1.0,0.79,1.03,1.0,1.0,1.0,1.27,0.92,0.91
h_0,1.63,1.75,1.94,1.63,1.52,1.49,1.18,1.34,1.01,1.12,1.0,1.0,1.0,0.97,0.91,1.15
a_0,1.7,1.66,1.76,1.93,1.77,1.38,1.32,1.18,1.01,1.13,1.1,0.82,1.14,1.01,1.12,1.12
e_0,1.68,1.78,2.1,1.7,1.48,1.38,1.33,1.18,1.14,1.07,0.83,1.13,1.12,0.97,1.0,0.99
g_0,1.61,2.02,1.7,1.76,1.61,1.58,1.05,1.14,1.14,1.07,1.26,1.08,0.9,0.88,1.06,1.0
