,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.3,1.09,1.33,1.6,3.12,16.81,32.39,35.68,33.56,36.42,45.42,78.2,104.22,124.87,117.31
e_1,0.77,1.0,1.08,1.38,1.55,3.63,19.13,44.97,32.18,31.71,41.24,55.18,84.87,83.51,135.39,150.64
d_1,0.93,0.92,1.0,0.94,1.42,3.02,16.23,24.77,21.81,42.84,33.77,37.09,63.63,94.76,81.32,110.74
c_1,0.75,0.72,1.08,1.0,1.61,2.63,14.35,15.22,27.32,19.73,26.73,36.97,64.55,76.51,80.11,82.93
b_1,0.62,0.65,0.7,0.62,1.0,3.92,13.59,19.33,19.82,22.54,24.05,27.42,45.36,52.22,81.01,69.86
a_1,0.32,0.27,0.33,0.37,0.26,1.0,8.13,8.43,12.05,8.06,13.95,11.48,27.02,26.9,29.13,34.93
h_1,0.06,0.05,0.06,0.07,0.07,0.14,1.0,1.26,1.95,1.58,1.94,1.98,4.06,4.05,6.77,6.25
d_0,0.03,0.02,0.04,0.06,0.05,0.12,0.78,1.0,1.0,1.0,1.34,1.5,2.52,2.88,4.4,4.71
g_1,0.03,0.03,0.04,0.04,0.05,0.09,0.52,0.96,1.0,1.11,1.19,1.78,2.39,3.3,3.5,3.65
c_0,0.03,0.03,0.02,0.05,0.04,0.12,0.65,0.93,0.92,1.0,1.63,1.45,2.76,2.76,3.71,3.9
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.52,0.76,0.84,0.64,1.0,1.06,2.25,3.44,2.75,2.99
f_0,0.02,0.02,0.03,0.03,0.04,0.09,0.5,0.65,0.56,0.68,0.95,1.0,1.89,2.38,1.95,4.04
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.24,0.38,0.42,0.38,0.46,0.51,1.0,1.11,1.73,1.21
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.26,0.34,0.3,0.33,0.3,0.47,0.84,1.0,1.47,1.33
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.29,0.26,0.35,0.51,0.54,0.71,1.0,0.99
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.22,0.28,0.27,0.36,0.25,0.79,0.77,0.94,1.0
