,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.34,1.32,0.77,0.7,0.59,0.75,1.36,1.6,1.59,1.52,1.63,0.54,1.85,1.71,1.98,1.37
e_1,0.64,2.42,0.87,0.69,0.85,0.72,1.58,1.38,2.82,1.98,1.64,1.91,1.97,1.62,2.1,1.09
c_1,0.74,0.71,2.49,0.73,1.4,0.68,1.66,1.42,1.37,0.75,1.37,1.74,2.08,1.4,1.88,1.64
d_1,0.92,0.7,0.7,2.56,0.73,0.78,1.5,1.23,0.8,2.69,1.76,1.76,1.96,1.79,2.16,1.55
b_1,0.83,0.64,0.67,0.74,2.77,1.41,1.62,1.6,1.88,1.8,0.88,1.5,2.28,1.28,2.39,1.58
a_1,0.99,0.87,0.83,0.68,0.55,3.35,1.49,1.51,1.94,1.84,1.32,1.53,2.54,0.93,1.64,1.36
h_1,1.43,0.91,0.76,1.15,0.87,0.86,3.97,2.07,2.05,2.15,2.37,2.06,1.94,2.02,2.94,2.48
g_1,0.83,1.01,1.03,1.61,0.8,0.89,1.63,4.27,1.96,1.94,2.36,3.1,2.34,2.46,1.5,2.67
d_0,0.94,0.75,1.82,0.67,0.92,0.77,2.14,2.12,3.63,2.05,2.43,2.77,3.29,2.78,2.91,2.79
c_0,1.25,0.86,0.78,1.06,0.8,0.99,1.77,2.23,2.54,3.87,4.63,2.4,2.84,2.78,3.76,2.89
b_0,1.02,0.96,1.05,1.27,0.45,1.19,2.07,2.19,2.01,1.52,4.13,2.46,2.85,3.65,2.6,2.78
f_0,0.8,0.77,1.17,1.24,0.92,0.76,1.96,2.06,2.55,2.45,2.7,4.33,3.7,2.87,2.93,4.38
h_0,1.27,0.87,1.21,1.16,0.88,0.74,0.92,2.66,1.95,2.19,2.59,1.96,1.68,2.51,3.04,2.15
a_0,1.09,1.06,1.23,0.99,0.94,,2.23,2.14,1.98,1.81,2.33,2.64,2.64,4.73,2.76,2.77
g_0,0.98,0.76,0.97,1.52,0.95,0.91,1.86,1.46,1.75,1.53,3.04,3.13,2.74,2.31,1.84,2.23
e_0,1.24,0.43,1.27,1.17,1.23,0.99,1.49,1.86,2.4,2.29,2.79,2.27,3.2,1.8,3.2,5.32
