,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.98,1.19,1.01,0.97,1.04,1.09,1.29,0.95,1.0,1.09,1.03,1.06,0.97,1.11
f_1,1.21,1.0,0.93,1.01,0.94,0.91,0.86,1.02,1.04,0.97,1.01,0.91,0.92,0.84,0.87,0.93
d_1,1.0,1.06,1.0,0.92,0.97,0.94,0.98,0.86,0.97,1.28,1.13,1.0,1.02,1.01,0.99,0.86
c_1,0.86,1.0,1.08,1.0,1.33,1.01,1.04,1.01,0.75,0.83,0.81,0.99,0.98,0.94,1.0,0.98
b_1,0.98,1.06,1.05,0.77,1.0,1.4,1.06,1.02,0.92,1.0,0.94,1.1,0.86,1.06,0.99,1.1
a_1,1.06,1.09,1.04,0.99,0.72,1.0,1.21,1.12,1.0,1.1,1.1,0.95,1.1,1.12,1.12,1.15
h_1,0.96,1.14,1.04,1.0,0.97,0.85,1.0,1.1,0.95,0.96,0.97,0.99,0.96,1.01,0.97,1.14
g_1,0.92,0.97,1.15,0.99,0.94,0.89,0.89,1.0,1.02,1.01,0.99,1.15,1.0,1.05,0.97,0.93
d_0,0.78,0.94,1.05,1.31,1.14,1.01,1.04,1.03,1.0,0.85,0.96,1.01,1.04,1.08,1.08,1.12
c_0,1.01,1.05,0.79,1.17,1.04,0.92,1.05,0.98,1.19,1.0,1.37,1.01,1.23,1.09,1.01,0.99
b_0,0.99,1.03,0.87,1.18,1.06,0.86,1.04,1.02,1.07,0.74,1.0,1.01,1.33,1.08,1.03,1.05
f_0,0.91,1.12,1.0,1.03,0.93,1.01,0.95,0.85,1.1,1.01,0.93,1.0,1.09,1.16,1.34,0.91
a_0,0.99,1.11,0.98,0.99,1.05,0.92,0.99,0.96,0.95,0.86,0.8,0.93,1.0,1.11,1.1,1.02
h_0,0.97,1.16,0.99,1.03,0.92,0.88,0.98,0.96,0.94,0.91,0.98,0.87,0.9,1.0,1.05,1.05
e_0,1.03,1.18,0.98,0.97,0.99,0.92,1.0,0.97,0.97,0.9,0.95,0.69,0.94,0.92,1.0,0.95
g_0,0.97,1.03,1.13,1.01,0.9,0.85,0.89,1.02,0.89,0.95,0.98,1.11,0.92,0.92,1.05,1.0
