,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,6.24,2.21,3.06,3.47,3.04,2.65,10.66,21.64,12.12,11.46,12.65,14.63,19.38,22.38,9.57,15.43
d_1,2.45,6.47,2.87,2.28,2.63,2.85,10.16,9.35,22.65,10.96,17.33,15.0,22.54,22.51,18.97,18.79
f_1,4.67,2.33,6.43,3.11,2.5,2.74,8.91,13.97,11.37,8.98,11.54,8.66,21.3,18.26,10.61,12.66
c_1,2.69,2.4,2.86,6.51,5.34,2.94,10.42,10.05,9.67,10.1,8.72,12.47,18.68,19.12,13.14,13.08
b_1,2.79,2.76,2.85,2.78,7.6,5.53,10.41,12.54,10.65,10.33,9.34,13.24,20.89,20.84,13.8,12.54
a_1,2.87,2.87,3.1,2.86,2.43,10.91,11.28,13.74,12.84,10.81,14.0,16.67,20.34,21.44,16.48,11.76
h_1,2.83,3.23,3.87,2.93,2.78,3.03,19.1,12.42,12.47,14.2,13.57,14.66,16.71,26.38,14.22,16.25
d_0,2.77,1.9,3.27,5.08,3.73,2.96,11.79,19.41,8.73,11.33,13.2,14.25,20.72,18.4,12.91,17.6
c_0,3.06,3.39,3.19,2.69,2.5,3.37,10.63,13.59,20.93,10.74,24.66,16.87,23.25,24.27,17.19,22.34
g_1,2.17,4.12,2.59,2.98,3.34,3.18,11.03,11.7,14.23,22.84,14.36,21.32,20.58,20.62,17.79,16.58
b_0,2.9,3.03,3.47,3.45,2.61,2.49,11.97,13.55,14.55,11.08,23.0,15.07,23.17,24.53,14.01,33.77
f_0,2.36,3.54,2.39,3.07,3.25,3.44,11.6,13.73,14.34,12.44,16.58,24.3,23.81,25.49,28.72,20.87
h_0,3.01,3.07,3.77,3.08,2.74,2.85,8.9,13.65,12.16,14.06,14.18,15.35,16.9,27.81,14.29,15.88
g_0,2.55,4.37,2.66,3.12,2.91,2.85,10.81,11.98,14.83,11.12,13.83,21.79,20.55,16.03,15.75,16.33
e_0,1.76,3.51,3.59,3.04,3.25,3.21,11.59,11.56,15.21,11.59,16.03,18.69,25.79,24.91,33.52,20.83
a_0,2.83,3.25,3.1,3.74,2.95,3.0,11.47,13.62,13.75,12.93,16.58,16.56,25.5,23.1,16.42,31.14
