,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.16,0.92,1.93,1.72,1.8,1.67,0.57,0.62,0.33,0.34,0.38,0.35,0.4,0.24,1.53,0.31
f_1,1.5,0.16,1.62,2.05,1.54,1.92,0.36,0.59,0.31,0.27,0.28,1.27,0.34,0.16,0.38,0.27
d_1,2.13,1.73,0.16,1.47,1.63,1.63,0.46,0.31,0.31,2.46,0.34,0.34,0.34,0.25,0.29,0.16
c_1,1.43,2.04,1.95,0.16,1.84,1.58,0.41,0.36,1.07,0.19,0.37,0.33,0.27,0.26,0.5,0.22
b_1,2.21,1.79,1.63,0.87,0.14,1.67,0.5,0.52,0.44,0.39,2.19,0.33,0.44,0.29,0.27,0.26
a_1,1.81,1.64,1.76,1.75,0.94,0.09,0.52,0.72,0.41,0.34,0.45,0.34,1.15,0.27,0.26,0.25
h_1,0.85,0.97,0.85,1.02,1.07,0.83,0.07,0.25,0.21,0.19,0.21,0.19,0.18,0.32,0.21,0.16
g_1,0.81,1.17,0.92,1.14,1.03,0.81,0.24,0.05,0.18,0.23,0.19,0.18,0.22,0.09,0.16,0.25
c_0,1.03,0.93,0.45,4.18,0.96,1.15,0.28,0.31,0.07,0.28,0.16,0.2,0.19,0.11,0.14,0.14
d_0,0.48,0.89,3.31,0.95,1.05,0.94,0.28,0.31,0.24,0.07,0.22,0.21,0.17,0.12,0.16,0.16
b_0,0.81,1.03,0.73,1.41,1.86,0.88,0.22,0.27,0.09,0.21,0.06,0.16,0.18,0.13,0.15,0.13
f_0,1.04,2.59,0.82,0.81,0.96,0.78,0.28,0.15,0.16,0.19,0.16,0.06,0.22,0.15,0.19,0.08
a_0,0.84,0.73,1.03,1.1,1.07,3.04,0.28,0.26,0.13,0.27,0.08,0.24,0.04,0.11,0.14,0.19
h_0,0.72,1.0,0.93,1.11,0.81,0.86,0.52,0.25,0.16,0.24,0.15,0.21,0.2,0.44,0.15,0.13
e_0,2.1,1.17,0.91,0.82,0.71,0.87,0.28,0.24,0.18,0.23,0.19,0.09,0.2,0.18,0.04,0.09
g_0,0.93,1.12,0.82,1.04,0.97,0.89,0.2,0.68,0.16,0.23,0.17,0.17,0.15,0.1,0.14,0.31
