,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,1.98,1.87,2.03,2.03,1.49,0.56,0.58,0.52,0.8,0.51,0.64,0.33,0.46,0.45,0.42
e_1,1.48,1.06,1.88,2.26,1.96,1.79,1.02,0.85,0.6,0.76,0.73,0.84,0.54,0.56,0.81,0.61
d_1,2.46,2.7,1.06,2.08,2.55,1.57,0.78,1.0,0.82,0.54,0.57,0.58,0.51,0.63,0.51,0.33
c_1,2.32,2.14,2.61,1.06,2.45,1.9,0.8,0.44,0.72,0.74,0.54,0.58,0.54,0.57,0.55,0.51
b_1,2.52,2.46,2.25,1.47,1.06,3.0,1.09,0.77,0.94,0.96,1.33,0.7,0.61,0.6,0.61,0.64
a_1,4.43,3.19,3.78,3.11,1.76,1.07,1.3,1.0,1.0,1.57,1.07,0.96,0.67,1.4,0.81,0.61
h_1,6.68,4.95,5.7,5.68,4.63,4.28,1.32,1.52,1.64,2.22,1.6,1.35,1.83,1.32,1.27,1.29
d_0,6.92,3.87,7.7,8.44,6.54,5.74,2.69,1.52,2.32,2.43,1.61,2.17,1.62,1.68,1.86,1.75
c_0,7.31,7.52,3.81,11.38,6.21,5.77,2.54,2.36,1.47,2.7,2.33,1.57,1.77,1.85,1.64,1.41
g_1,6.72,7.02,7.27,7.76,6.84,4.4,1.9,1.98,1.98,1.34,2.15,2.12,1.24,1.6,1.61,1.75
b_0,8.22,6.23,6.8,9.18,8.42,6.69,2.62,2.34,1.4,2.35,1.47,1.92,1.63,2.22,1.54,1.23
f_0,13.49,7.06,7.06,8.78,7.11,6.52,3.41,2.51,2.7,1.94,2.83,1.48,2.0,2.22,2.82,1.36
h_0,9.89,8.18,8.26,9.37,8.4,8.3,4.45,2.51,2.53,3.24,2.55,2.42,2.59,2.12,2.15,2.07
a_0,11.61,9.64,7.89,9.37,13.34,9.85,3.51,2.89,2.41,4.1,1.73,2.51,2.94,1.57,2.11,2.24
e_0,14.38,11.63,10.21,10.25,11.5,8.25,4.04,3.08,3.1,3.51,3.31,1.55,2.65,2.88,1.64,2.15
g_0,12.67,10.4,10.68,10.07,8.97,9.91,3.39,3.44,3.12,4.55,3.65,2.9,1.99,2.98,2.41,2.71
