,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,4.25,4.34,3.51,4.41,2.92,1.33,1.44,1.74,1.29,1.67,,1.27,1.54,1.64,1.42
e_1,2.15,0.42,3.7,3.52,3.67,3.07,1.71,1.83,2.11,2.81,1.63,1.68,1.42,1.56,,1.34
c_1,3.52,3.21,0.4,4.64,4.05,3.5,1.82,1.13,1.77,,1.6,1.44,1.77,1.77,1.54,1.14
d_1,3.35,4.6,3.14,0.39,4.04,3.67,1.83,,1.18,2.32,1.69,1.58,1.13,1.65,1.58,0.99
b_1,3.13,3.46,2.31,3.6,0.37,4.65,2.66,1.47,2.0,1.9,,1.9,1.26,1.97,1.72,1.01
a_1,4.63,3.77,2.98,4.45,2.25,0.3,2.05,1.42,,1.43,,1.65,1.33,,,1.35
h_1,2.07,2.03,1.59,1.64,1.37,2.05,0.26,0.7,1.3,0.89,0.72,0.77,,0.78,0.9,0.76
d_0,1.81,1.05,1.77,,1.5,1.76,1.02,0.3,0.89,0.56,0.84,0.65,0.54,0.67,0.72,0.88
g_1,2.47,1.55,2.21,2.08,2.0,,0.71,0.97,0.23,0.9,0.78,0.86,0.53,0.84,0.8,
c_0,2.19,1.37,,0.89,1.68,2.04,0.8,0.85,0.69,0.28,0.66,0.81,0.65,0.98,0.59,0.63
b_0,1.62,1.63,2.08,1.69,,,1.03,0.59,1.02,0.42,0.25,0.9,0.69,0.84,0.67,0.69
f_0,,2.12,1.59,1.71,1.21,1.55,1.01,0.92,0.64,0.74,0.72,0.25,0.52,0.72,0.86,0.45
h_0,1.22,1.19,1.27,1.25,1.22,1.17,,0.73,0.97,0.51,0.52,0.59,,0.55,0.52,0.49
a_0,1.68,2.04,1.31,1.5,1.97,,0.91,0.76,0.79,0.64,0.54,0.72,0.64,0.22,,0.61
e_0,1.64,,1.92,1.66,1.29,,0.7,0.96,0.8,0.91,0.71,0.45,0.76,,0.22,0.63
g_0,1.28,1.57,1.44,1.48,2.17,1.35,0.54,0.48,,0.69,0.69,0.59,0.33,0.61,0.48,
