,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.67,0.75,1.01,1.2,1.04,0.88,0.5,0.46,0.38,0.45,0.43,0.51,0.35,0.35,0.43,0.49
f_1,1.1,0.66,1.04,1.03,0.94,0.86,0.39,0.4,0.36,0.52,0.35,0.46,0.23,0.36,0.35,0.29
d_1,1.24,1.15,0.64,1.06,1.05,1.01,0.5,0.47,0.45,0.36,0.39,0.36,0.31,0.35,0.22,0.4
c_1,0.94,1.19,1.4,0.63,1.35,0.93,0.5,0.27,0.48,0.47,0.37,0.36,0.32,0.39,0.31,0.36
b_1,1.23,1.33,1.38,0.73,0.61,1.43,0.54,0.44,0.56,0.6,0.57,0.37,0.4,0.35,0.32,0.36
a_1,1.57,1.54,1.38,1.51,0.74,0.56,0.62,0.55,0.47,0.71,0.63,0.46,0.4,0.62,0.41,0.38
h_1,1.64,1.89,1.65,1.69,1.74,1.43,0.56,0.66,0.53,0.76,0.63,0.57,0.58,0.51,0.55,0.55
d_0,1.32,1.92,2.26,2.2,1.86,1.71,0.85,0.58,0.66,0.86,0.77,0.72,0.57,0.6,0.6,0.67
c_0,2.03,2.18,1.21,2.72,1.8,1.9,1.06,0.94,0.58,0.74,0.81,0.71,0.62,0.72,0.53,0.66
g_1,2.03,2.16,1.95,2.15,1.95,1.63,0.72,0.82,0.75,0.51,0.7,0.76,0.47,0.67,0.63,0.67
b_0,1.78,2.13,1.79,2.58,2.38,1.65,0.98,0.77,0.49,0.83,0.56,0.66,0.55,0.76,0.55,0.76
f_0,1.82,2.55,1.93,2.11,2.44,2.04,0.97,0.79,0.73,0.63,0.73,0.55,0.67,0.73,0.39,0.74
h_0,2.08,2.55,2.12,2.45,2.14,2.04,1.09,0.91,0.77,1.05,0.87,0.72,0.78,0.69,0.68,0.7
a_0,2.33,2.4,2.31,2.34,3.24,2.77,1.23,0.97,0.73,0.96,0.54,0.83,0.69,0.53,0.62,0.82
g_0,2.32,2.54,2.61,2.43,2.42,1.94,0.89,0.94,0.89,1.4,0.99,0.96,0.61,0.94,0.78,1.0
e_0,2.74,3.48,2.16,2.28,2.39,2.07,1.12,0.92,0.91,0.96,0.83,0.52,0.73,0.85,0.51,0.53
