,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.37,1.79,0.98,1.13,1.02,0.97,2.06,2.25,2.03,2.23,1.41,2.34,2.42,2.22,1.83,2.88
e_1,1.01,2.39,1.43,1.0,1.05,1.19,2.09,3.97,2.4,2.54,2.94,2.67,3.72,2.11,2.91,2.72
c_1,1.27,0.89,2.56,1.22,1.94,1.02,2.04,1.77,1.94,1.04,2.23,1.93,3.07,1.94,2.4,3.46
d_1,1.12,1.14,0.95,2.6,1.07,1.01,2.35,1.63,2.15,4.23,2.98,2.87,2.95,3.02,2.51,2.79
b_1,1.26,1.04,0.92,1.12,2.81,2.0,2.05,2.53,2.17,2.05,2.29,1.53,3.16,2.37,2.67,3.14
a_1,1.25,1.03,1.39,1.29,0.83,3.22,2.03,2.84,1.94,2.36,2.36,2.44,3.32,2.84,1.87,3.03
h_1,1.63,1.16,1.4,1.14,1.15,1.1,4.12,2.36,3.11,2.78,2.11,2.8,2.1,2.25,2.5,3.94
d_0,1.38,1.01,2.03,0.93,1.24,1.21,2.79,3.85,2.25,2.54,3.13,2.71,3.3,2.45,2.47,4.21
g_1,1.3,1.11,1.18,1.71,1.16,1.2,2.23,2.33,4.49,2.33,3.75,2.72,2.67,3.05,2.9,2.32
c_0,1.27,1.41,1.13,1.14,1.18,1.08,2.64,2.79,3.05,4.01,2.79,4.77,3.3,3.13,3.32,3.35
f_0,1.02,0.98,1.45,1.37,1.37,1.33,2.76,2.75,2.04,3.03,4.23,2.86,3.3,5.4,2.8,3.44
b_0,1.34,1.32,1.58,1.13,0.88,1.2,2.71,2.59,2.85,2.34,2.71,4.44,3.3,2.77,4.82,3.78
h_0,1.66,1.09,1.31,1.24,1.21,1.3,2.45,2.7,3.1,2.57,2.38,2.94,2.79,2.7,2.89,3.97
e_0,1.18,0.93,1.59,1.1,1.44,1.22,3.17,3.3,2.56,2.85,2.3,3.13,3.99,5.11,3.83,3.78
a_0,1.61,0.97,1.52,1.33,1.24,0.84,2.71,2.91,2.18,2.5,2.79,2.56,3.43,2.75,5.18,4.06
g_0,0.95,1.23,1.27,1.79,1.36,1.21,2.57,1.8,2.1,2.78,3.54,2.74,3.02,3.04,2.53,2.75
