,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.5,1.43,1.58,2.17,1.72,1.64,3.31,3.01,3.29,5.64,3.91,3.71,4.6,3.82,3.26,4.4
d_1,1.76,2.53,1.72,1.53,1.61,1.61,3.43,3.04,5.35,2.74,3.82,4.04,4.55,4.24,4.08,4.37
f_1,2.36,1.59,2.54,1.6,1.49,1.52,2.95,3.33,3.38,3.64,3.09,3.66,3.84,4.0,2.57,4.51
c_1,1.35,1.69,1.73,2.65,2.54,1.84,3.1,3.03,2.89,2.88,3.46,2.67,4.77,3.01,3.68,4.6
b_1,1.61,1.65,1.73,1.48,2.71,2.73,3.29,3.29,3.1,3.48,3.33,2.91,4.78,3.04,3.98,4.55
a_1,1.79,1.81,1.8,1.7,1.46,3.19,3.4,3.57,3.49,3.76,3.68,4.29,4.39,3.7,4.29,4.25
h_1,1.62,1.8,2.11,1.8,1.61,1.51,4.24,3.77,3.51,3.44,3.83,4.17,4.2,3.58,3.64,5.72
g_1,1.64,2.19,1.68,1.58,1.63,1.73,3.27,4.7,4.01,3.27,4.76,4.1,4.08,3.69,4.15,4.73
c_0,1.79,1.76,1.85,1.66,1.69,1.55,3.67,3.46,4.62,4.2,4.18,6.21,5.08,5.2,4.02,4.95
d_0,1.4,1.53,1.73,2.78,1.91,1.53,3.38,3.11,2.57,4.58,3.55,3.69,4.8,3.57,3.67,5.04
f_0,1.47,1.75,1.84,1.79,1.94,1.66,3.6,3.53,3.78,3.68,4.9,4.21,5.18,3.63,6.41,4.85
b_0,1.59,1.91,1.89,2.06,1.5,1.29,3.34,3.26,3.28,3.55,3.95,5.0,5.18,6.51,4.11,4.87
h_0,1.62,1.85,2.08,1.8,1.65,1.78,2.9,4.08,3.33,3.65,3.68,3.8,4.07,3.98,3.76,6.02
a_0,1.65,1.78,1.88,1.95,1.74,1.45,3.67,3.46,3.59,3.69,3.91,3.57,5.36,5.46,4.52,5.6
e_0,1.52,1.91,2.01,1.77,1.6,1.67,3.81,3.55,3.85,3.45,3.53,4.24,5.5,3.89,5.65,5.19
g_0,1.46,2.21,1.56,1.89,1.63,1.77,2.89,3.0,3.75,3.2,4.86,3.88,4.29,3.46,4.36,4.39
