,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.31,1.02,0.91,0.93,0.85,0.64,0.65,0.58,0.54,0.74,,0.56,0.45,0.44,0.61
e_1,0.76,1.0,1.01,1.04,0.9,0.9,0.75,0.72,0.65,0.86,0.64,0.63,0.54,,0.59,0.51
d_1,0.98,0.99,1.0,1.04,1.06,0.82,0.66,0.47,1.09,,0.63,0.58,0.5,0.74,0.42,0.41
c_1,1.1,0.96,0.96,1.0,1.43,0.99,0.75,0.78,,0.48,0.76,0.59,0.6,0.71,0.55,0.55
b_1,1.08,1.12,0.94,0.7,1.0,1.23,0.74,0.8,0.58,0.81,,0.78,0.63,0.68,0.58,0.58
a_1,1.17,1.11,1.21,1.01,0.81,1.0,0.92,0.66,0.99,0.96,,0.76,0.73,,,0.63
h_1,1.57,1.34,1.51,1.34,1.36,1.09,1.0,0.95,0.84,0.94,0.68,1.22,,0.59,1.03,0.9
g_1,1.54,1.38,2.11,1.28,1.25,1.52,1.05,1.0,0.8,0.78,1.0,1.53,0.65,0.84,0.72,
c_0,1.71,1.55,0.92,,1.73,1.01,1.2,1.26,1.0,1.1,1.48,0.88,0.86,0.77,0.83,0.9
d_0,1.84,1.16,,2.07,1.24,1.04,1.06,1.29,0.91,1.0,0.8,0.87,0.93,1.35,1.04,1.12
b_0,1.36,1.57,1.59,1.32,,,1.47,1.0,0.68,1.26,1.0,0.95,1.07,1.03,1.35,0.77
f_0,,1.6,1.71,1.7,1.29,1.32,0.82,0.66,1.13,1.15,1.05,1.0,1.06,,0.87,0.71
h_0,1.77,1.86,2.01,1.67,1.59,1.37,,1.54,1.16,1.07,0.93,0.94,,,0.89,1.1
e_0,2.22,,1.35,1.42,1.48,,1.68,1.19,1.3,0.74,0.97,,,1.0,1.15,1.13
a_0,2.29,1.7,2.39,1.83,1.71,,0.97,1.4,1.21,0.96,0.74,1.15,1.12,0.87,1.0,0.96
g_0,1.63,1.95,2.44,1.82,1.73,1.58,1.11,,1.11,0.89,1.3,1.41,0.91,0.88,1.04,
