,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.53,0.12,0.07,0.08,0.08,0.1,0.29,0.35,0.21,0.35,0.4,,0.73,0.46,0.62,0.31
e_1,0.07,5.88,0.05,0.08,0.07,0.05,0.28,0.38,0.24,0.74,0.39,0.4,0.73,0.37,0.6,
d_1,0.08,0.07,5.99,0.08,0.1,0.06,0.35,0.59,0.3,,0.35,0.3,0.46,0.36,0.63,0.52
c_1,0.08,0.06,0.1,6.3,0.12,0.08,0.36,,0.25,0.42,0.32,0.32,0.61,0.24,0.7,0.48
b_1,0.07,0.08,0.1,0.09,7.67,0.14,0.34,0.38,0.23,0.39,,0.3,0.57,0.46,0.44,0.29
a_1,0.06,0.07,0.08,0.08,0.07,11.48,0.32,0.43,0.35,0.52,0.27,0.38,0.54,,0.4,
h_1,0.32,0.31,0.32,0.26,0.27,0.38,13.7,1.51,1.6,1.46,1.35,1.24,,0.92,3.25,1.23
c_0,0.28,0.39,0.38,,0.29,0.35,1.75,12.03,1.59,1.96,3.92,2.02,3.58,1.75,2.16,2.13
g_1,0.37,0.33,0.35,0.34,0.35,,1.22,1.43,18.46,0.75,1.62,1.95,1.5,1.14,,
d_0,0.41,0.33,,0.64,0.4,0.27,1.51,1.74,1.28,12.22,2.28,2.07,2.89,2.63,3.12,2.37
b_0,0.47,0.46,0.18,0.31,,0.29,0.85,1.89,1.83,2.21,14.41,3.57,2.84,3.75,2.3,1.84
f_0,,0.23,0.41,0.44,0.39,0.43,1.45,2.29,1.68,1.93,2.08,14.49,3.04,2.58,2.5,4.2
h_0,0.9,0.65,0.63,0.66,0.4,0.44,,3.16,3.0,2.71,2.94,1.95,,2.23,5.38,2.4
a_0,0.4,0.35,0.55,0.39,0.41,,1.13,1.75,1.43,2.05,,1.99,4.01,20.03,2.39,
g_0,0.58,0.5,0.82,0.48,0.59,0.58,2.42,2.26,,2.29,2.66,5.25,4.27,2.56,,2.57
e_0,0.32,,0.45,0.39,0.37,0.44,1.64,2.87,,2.48,1.57,2.57,3.09,,3.36,22.67
