,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.45,1.45,1.54,2.11,1.78,1.53,3.53,5.17,3.2,3.43,3.92,3.89,4.5,4.07,3.76,4.68
d_1,1.68,2.53,1.84,1.48,1.62,1.45,3.12,3.29,2.99,5.14,4.3,3.95,4.69,4.02,4.09,4.45
f_1,2.21,1.52,2.52,1.67,1.68,1.66,2.72,3.59,2.95,3.19,3.57,2.86,4.42,3.96,2.94,4.38
c_1,1.5,1.65,1.72,2.62,2.58,1.82,3.22,3.1,3.16,2.53,2.67,3.61,4.19,3.65,3.66,4.4
b_1,1.61,1.72,1.75,1.45,2.79,2.98,3.26,3.17,3.25,3.67,3.06,3.31,4.5,2.82,3.71,4.59
a_1,1.71,1.88,1.92,1.74,1.31,3.35,3.41,3.64,3.58,3.6,3.99,3.62,4.84,3.47,3.64,4.79
h_1,1.67,1.8,2.27,1.65,1.68,1.51,4.25,3.2,3.77,3.46,3.69,3.41,3.93,4.17,3.68,5.13
d_0,1.52,1.47,1.68,2.66,2.0,1.71,3.63,4.33,3.43,2.68,3.77,3.31,4.66,4.18,3.82,4.66
g_1,1.55,2.22,1.59,1.72,1.68,1.69,3.02,3.08,4.73,3.67,3.64,5.24,4.02,3.79,4.36,4.51
c_0,1.73,1.66,1.94,1.7,1.47,1.65,3.44,4.42,3.29,4.62,5.96,3.96,5.4,4.76,4.12,4.66
b_0,1.79,1.62,1.85,2.07,1.55,1.4,3.68,3.89,3.72,3.31,4.88,4.24,5.32,6.6,3.91,4.44
f_0,1.6,1.84,1.59,1.82,1.89,1.82,3.59,4.23,3.28,3.93,3.83,5.06,4.56,4.71,7.15,4.89
h_0,1.68,1.87,1.9,1.86,1.59,1.63,3.03,3.42,3.88,3.42,3.42,3.78,4.18,3.71,3.56,5.53
a_0,1.78,1.88,1.72,1.99,1.93,1.3,3.37,3.86,3.92,3.24,3.16,3.58,5.25,5.23,4.03,4.38
e_0,1.56,1.9,1.92,1.67,1.74,1.63,3.85,4.08,3.37,3.62,4.57,3.24,5.4,4.4,5.63,4.97
g_0,1.56,2.23,1.67,1.71,1.59,1.52,3.25,3.49,2.88,4.23,4.22,4.76,4.3,4.29,4.42,4.57
