,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,120.48,59.0,56.29,84.61,79.71,272.71,6782.97,17963.99,18481.29,37252.57,28287.7,33490.19,89686.88,127336.45,95939.64,164502.68
f_1,85.52,120.86,57.05,75.39,69.64,328.42,5294.21,14540.99,19398.13,22846.81,23262.75,23754.8,88271.22,101412.59,107837.29,146213.46
d_1,55.1,65.15,129.56,53.86,89.66,291.94,6346.09,14484.35,30545.14,14342.68,28372.86,32247.8,74929.18,110102.18,124809.06,150432.56
c_1,49.36,46.5,66.38,137.5,143.18,278.73,5292.42,12247.79,9145.58,17999.51,17718.82,34392.93,57393.36,104562.82,127958.09,146109.93
b_1,50.65,63.1,56.57,46.19,165.29,463.71,5204.09,13433.1,17815.99,19056.43,20150.6,27985.99,64900.99,108446.2,127215.55,140108.68
a_1,36.18,31.36,41.99,45.79,39.15,477.9,3806.84,10587.82,10583.07,13321.63,17326.83,20574.49,34765.99,74583.21,68235.52,99055.02
h_1,14.58,21.78,19.37,22.79,25.26,86.04,2685.46,5403.6,5172.37,5930.85,7983.85,8800.01,23280.7,27869.81,34761.27,62495.08
g_1,10.25,11.61,18.67,17.61,17.67,56.03,1296.62,5851.0,4044.09,4337.42,5448.39,10392.9,17423.04,21096.99,30349.37,29142.09
c_0,12.67,13.82,12.43,13.23,15.94,61.28,1275.41,3755.26,5747.99,4628.03,8883.62,7236.19,23216.99,27029.41,26836.65,37405.6
d_0,10.21,12.4,9.22,22.8,17.03,58.52,1306.5,3116.04,2941.84,6244.9,4855.82,6765.12,13178.67,20218.87,23120.13,28346.36
b_0,10.27,13.25,12.94,16.51,10.24,47.06,1074.22,2985.17,3674.92,4356.38,7292.07,6981.03,29808.43,28346.54,24826.17,31401.29
f_0,9.23,9.23,12.06,12.65,17.09,55.02,1190.77,2488.07,3533.66,3549.51,4666.16,8784.95,12198.24,22682.03,40880.95,26516.65
a_0,7.92,7.63,8.68,11.12,10.53,30.07,792.97,2197.77,2354.34,3500.59,2884.76,4813.05,17462.5,16584.49,15958.07,25923.56
h_0,7.58,9.62,8.55,8.21,10.41,30.86,574.22,2489.82,2360.57,3064.58,2991.85,3319.08,9757.46,11031.45,15819.39,23935.66
e_0,5.39,7.33,8.37,7.81,10.43,37.23,706.65,1728.57,2678.98,2572.57,3263.6,3441.99,9646.61,13803.88,24002.13,18220.77
g_0,5.92,6.38,10.17,7.65,9.38,30.72,554.49,1465.98,2170.13,2304.32,2745.73,5328.87,6913.23,12627.01,18813.52,15654.45
