,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.33,0.28,0.36,0.25,0.15,0.32,0.23,0.29,0.49,0.3,0.27,0.28,0.17,0.12,0.23
f_1,0.58,0.9,0.31,0.29,0.19,0.14,0.28,0.22,0.28,0.28,0.27,0.16,0.25,0.18,0.11,0.21
d_1,0.32,0.38,0.91,0.23,0.21,0.15,0.33,0.27,0.53,0.2,0.34,0.27,0.29,0.2,0.2,0.26
c_1,0.31,0.33,0.26,0.91,0.49,0.14,0.25,0.21,0.16,0.3,0.2,0.22,0.26,0.18,0.15,0.2
b_1,0.31,0.32,0.32,0.28,0.89,0.37,0.3,0.23,0.28,0.24,0.16,0.2,0.27,0.14,0.16,0.23
a_1,0.31,0.35,0.39,0.34,0.21,0.88,0.3,0.21,0.27,0.32,0.28,0.23,0.34,0.11,0.19,0.25
h_1,0.34,0.47,0.39,0.32,0.29,0.15,0.63,0.34,0.3,0.27,0.28,0.24,0.21,0.23,0.2,0.35
g_1,0.29,0.31,0.59,0.26,0.25,0.17,0.34,0.63,0.34,0.23,0.26,0.44,0.33,0.21,0.21,0.2
c_0,0.38,0.41,0.41,0.26,0.2,0.17,0.34,0.29,0.51,0.3,0.53,0.28,0.34,0.25,0.22,0.3
d_0,0.32,0.34,0.22,0.61,0.31,0.15,0.3,0.26,0.25,0.51,0.27,0.3,0.28,0.22,0.2,0.25
b_0,0.4,0.4,0.36,0.34,0.19,0.13,0.37,0.26,0.31,0.35,0.51,0.32,0.35,0.41,0.23,0.29
f_0,0.26,0.31,0.4,0.38,0.28,0.17,0.35,0.29,0.34,0.35,0.34,0.51,0.37,0.23,0.47,0.26
h_0,0.37,0.53,0.39,0.27,0.25,0.15,0.23,0.3,0.34,0.3,0.26,0.29,0.24,0.23,0.22,0.36
a_0,0.37,0.38,0.45,0.31,0.28,0.13,0.33,0.26,0.35,0.28,0.29,0.26,0.34,0.4,0.19,0.29
e_0,0.23,0.39,0.38,0.44,0.3,0.16,0.34,0.24,0.3,0.33,0.35,0.31,0.32,0.24,0.45,0.28
g_0,0.32,0.36,0.54,0.29,0.25,0.16,0.35,0.22,0.35,0.26,0.31,0.4,0.28,0.22,0.22,0.23
