,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.11,3.64,4.07,4.36,5.11,3.73,0.94,0.97,1.31,0.82,0.88,1.37,0.4,0.93,0.71,0.68
d_1,4.99,1.11,4.96,4.76,3.92,4.14,1.47,1.77,0.88,1.09,0.95,0.93,0.66,0.89,0.9,0.45
e_1,2.48,5.29,1.12,5.31,4.99,4.66,1.36,1.1,1.66,0.87,0.98,1.3,0.79,0.99,1.97,0.83
c_1,5.15,6.64,4.03,1.12,5.54,5.39,1.23,0.53,1.33,1.89,0.93,0.94,0.74,0.95,0.93,0.69
b_1,5.98,5.78,6.26,3.16,1.13,4.88,2.09,1.39,1.66,1.58,2.59,1.07,0.91,1.27,1.54,0.89
a_1,13.23,7.71,7.59,7.42,3.89,1.14,2.42,1.78,2.97,1.59,1.91,1.52,1.32,3.14,1.59,1.01
h_1,14.37,13.95,15.64,18.28,14.47,14.51,1.72,3.16,4.19,2.78,2.82,3.12,3.12,2.44,2.75,2.56
d_0,19.28,31.49,9.93,18.07,22.52,20.81,6.32,2.27,5.48,3.7,3.46,3.66,2.66,3.33,3.84,2.86
g_1,19.7,17.78,20.63,19.76,19.7,17.76,3.92,4.52,1.77,4.14,3.71,3.91,2.03,4.18,3.14,4.79
c_0,21.43,10.28,19.91,43.92,23.07,18.56,6.47,6.37,5.76,2.19,4.41,3.48,3.34,3.52,3.42,2.86
b_0,21.06,22.0,18.82,25.92,39.96,22.15,5.79,3.77,5.44,2.19,2.18,4.38,3.31,4.13,4.15,2.96
f_0,48.85,21.72,22.99,26.8,22.88,22.39,6.47,4.55,4.88,4.52,4.62,2.3,3.65,4.13,4.99,2.17
h_0,30.28,26.2,27.62,29.55,26.51,25.75,12.45,7.03,8.22,5.54,4.86,6.17,6.38,4.75,4.36,5.15
a_0,38.17,26.0,31.14,33.64,49.77,51.5,10.17,6.89,8.12,7.41,3.25,6.32,4.99,2.47,5.13,4.25
e_0,64.28,32.07,49.64,37.2,41.12,27.47,9.48,7.33,8.42,7.58,5.84,3.28,4.67,7.31,2.46,4.25
g_0,42.6,36.9,34.6,35.93,33.38,38.87,7.87,8.12,12.48,7.24,6.72,6.83,3.91,5.85,7.12,7.73
