,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,5.97,0.08,0.06,0.09,0.16,0.04,0.38,0.33,0.4,,0.44,0.22,0.74,0.31,0.28,0.54
f_1,0.09,6.0,0.11,0.13,0.07,0.06,0.33,0.31,0.32,0.38,,0.44,0.58,0.22,0.34,0.46
d_1,0.07,0.06,6.17,0.05,0.07,0.06,0.32,0.34,,0.8,0.42,0.57,0.53,0.32,0.37,0.57
e_1,0.07,0.08,0.06,6.3,0.07,0.07,0.25,0.24,0.79,0.23,0.41,0.35,0.87,,,0.71
b_1,0.08,0.09,0.06,0.07,6.87,0.14,0.31,0.27,0.48,0.36,0.43,,0.53,0.5,0.41,0.39
a_1,0.11,0.07,0.06,0.07,0.08,10.66,0.2,0.27,0.41,0.34,0.44,0.33,0.69,,,0.53
h_1,0.23,0.49,0.3,0.25,0.19,0.33,14.08,1.48,1.44,1.61,1.47,1.4,,0.89,1.22,3.25
g_1,0.26,0.19,0.48,0.29,0.23,0.31,0.94,16.62,1.4,1.58,2.23,1.39,1.78,2.02,1.26,
d_0,0.79,0.38,,0.45,0.29,0.44,1.27,1.4,12.07,1.77,2.08,1.78,2.3,,1.96,3.12
c_0,,0.42,0.45,0.29,0.32,0.28,1.52,1.36,1.47,13.46,2.04,3.96,3.0,,2.13,3.28
f_0,0.3,,0.48,0.35,0.53,0.55,1.47,1.24,1.48,2.34,14.9,2.47,1.82,3.19,,2.83
b_0,0.26,0.45,0.45,0.37,,0.3,1.34,1.39,2.54,2.09,1.28,14.72,4.55,2.06,,2.77
h_0,0.51,0.76,0.4,0.59,0.77,0.66,,2.71,3.13,2.8,2.51,2.8,,2.92,4.16,4.23
e_0,0.33,0.37,0.3,,0.48,,2.68,1.14,,,2.13,2.66,3.24,22.68,,2.74
a_0,0.52,0.47,0.39,,0.26,,1.99,1.45,1.86,1.81,,,2.83,,21.27,4.13
g_0,0.72,0.4,0.92,0.67,0.53,0.5,1.79,,3.12,2.94,3.48,2.11,4.41,2.38,3.38,
