,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.48,2.69,1.5,1.5,1.27,1.26,5.45,5.02,6.78,6.36,6.0,3.15,10.07,6.37,4.19,10.45
e_1,1.65,5.67,1.23,1.95,1.53,1.32,5.59,3.7,6.71,14.21,7.07,7.28,11.83,8.66,4.67,12.58
d_1,1.6,1.42,6.58,1.24,1.37,1.69,5.95,6.43,13.71,3.15,8.67,8.23,10.42,7.57,6.99,11.74
c_1,1.48,1.27,1.56,6.89,2.8,1.57,4.76,5.18,3.25,6.65,5.42,7.68,10.78,6.94,8.38,9.36
b_1,1.54,1.25,1.39,1.73,7.64,2.88,4.83,5.51,6.77,6.49,4.07,6.73,11.44,5.54,7.0,9.18
a_1,1.7,1.26,1.65,1.52,1.53,11.12,6.79,6.8,7.37,7.6,8.59,7.37,10.8,5.03,7.93,11.73
h_1,2.58,1.8,1.76,1.93,1.39,1.66,17.49,9.98,8.69,7.96,9.3,7.64,9.26,10.21,10.99,16.57
g_1,1.52,1.52,3.22,1.61,1.82,2.01,5.4,20.8,11.35,4.89,10.53,15.17,13.1,9.29,11.76,11.89
c_0,2.22,1.86,2.19,1.35,1.37,1.55,7.79,7.23,16.21,9.05,18.15,11.36,14.9,11.79,11.1,15.75
d_0,2.07,1.78,1.1,3.72,1.82,1.4,7.72,6.33,5.15,15.78,9.67,7.08,14.86,9.19,9.13,12.03
b_0,2.19,1.87,2.27,1.97,0.96,1.56,7.87,7.32,8.51,8.21,18.54,9.21,13.57,18.43,11.05,14.87
f_0,1.04,1.5,2.17,1.76,2.04,2.35,6.88,7.62,8.46,10.3,12.11,22.81,16.59,12.31,25.22,14.37
h_0,2.69,1.84,2.12,1.59,2.07,1.82,3.33,7.86,7.72,7.29,8.34,7.88,8.48,9.79,9.46,15.04
a_0,2.28,1.67,2.22,2.15,2.03,0.92,7.3,6.07,9.06,9.29,9.6,8.16,16.32,24.48,8.07,14.77
e_0,2.02,1.12,2.45,1.9,1.88,1.5,6.97,9.71,8.43,10.24,10.68,12.09,14.53,15.04,30.49,14.16
g_0,1.68,1.62,3.19,2.04,1.91,1.58,6.53,4.8,8.58,8.02,9.34,13.44,13.25,9.52,11.73,8.67
