,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.44,3.87,4.24,3.77,4.48,4.24,0.91,1.32,0.9,0.7,3.5,0.96,0.52,0.79,0.87,0.63
e_1,2.45,0.44,4.85,4.72,4.59,3.81,1.24,1.5,0.87,0.93,1.01,0.88,0.72,4.03,0.9,0.65
c_1,5.1,3.8,0.43,5.29,3.74,4.25,1.15,1.54,0.52,2.81,0.82,0.87,0.67,0.96,0.84,0.76
d_1,4.87,5.16,4.97,0.42,5.32,4.63,1.26,0.79,4.19,0.89,0.72,0.71,0.59,0.93,0.71,0.4
b_1,4.81,5.81,2.52,4.74,0.4,5.74,1.49,1.52,1.12,1.64,1.0,4.93,0.69,0.93,1.21,0.68
a_1,6.27,5.41,8.86,10.09,2.84,0.32,1.65,1.86,1.1,1.52,1.34,1.75,1.13,1.54,4.59,0.95
h_1,4.23,5.35,4.56,4.85,4.87,5.93,0.36,1.74,0.99,1.13,1.39,1.16,1.77,1.16,1.03,0.91
g_1,5.54,6.49,5.5,5.59,6.51,5.11,1.2,0.32,1.14,1.17,1.44,1.09,0.6,0.9,1.16,2.9
d_0,5.25,3.07,5.57,14.1,7.14,6.32,1.69,1.52,0.48,1.07,1.06,1.11,0.78,1.13,1.43,1.07
c_0,6.03,5.67,15.97,2.81,7.21,9.06,1.94,1.84,1.32,0.43,1.19,1.27,0.88,0.89,1.3,0.96
f_0,18.17,4.94,5.56,5.49,6.58,4.9,1.55,0.94,1.12,0.95,0.4,1.44,0.89,0.85,1.46,0.56
b_0,6.85,5.49,11.37,5.15,19.33,4.67,2.03,1.54,1.17,0.54,1.02,0.39,0.83,0.96,1.19,0.84
h_0,7.17,6.96,5.93,5.51,7.86,7.07,5.63,2.5,1.38,1.18,1.26,1.09,1.67,1.32,1.13,1.01
e_0,10.77,18.83,5.87,7.48,6.63,5.02,1.83,2.45,1.41,1.27,0.68,1.97,0.89,0.35,1.3,0.77
a_0,6.89,7.21,8.48,8.64,7.67,17.97,2.52,1.63,1.06,1.35,1.8,0.6,0.79,1.11,0.35,1.28
g_0,10.18,7.01,6.65,5.91,8.61,10.15,1.79,5.07,1.67,1.29,1.64,1.54,0.76,1.22,1.47,2.6
