,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.83,1.11,0.5,0.63,0.59,0.61,2.13,2.12,2.21,2.37,2.86,0.62,4.52,2.47,2.3,3.64
e_1,0.63,5.98,0.46,0.64,0.56,0.49,2.53,3.09,2.15,5.85,3.5,2.96,5.17,2.72,0.72,3.99
d_1,0.56,0.52,6.39,0.44,0.58,0.61,2.49,5.86,2.12,1.06,3.45,4.08,4.32,3.03,3.59,4.44
c_1,0.67,0.52,0.69,6.59,1.06,0.4,1.72,0.51,1.95,2.74,2.68,3.61,3.93,2.78,2.57,4.36
b_1,0.58,0.54,0.55,0.61,6.96,1.2,2.28,2.39,2.39,2.49,0.87,3.06,4.61,1.96,3.41,4.7
a_1,0.51,0.46,0.69,0.69,0.47,10.61,3.05,3.8,2.64,3.16,3.03,2.33,5.52,1.02,2.54,3.92
h_1,1.36,0.95,1.16,0.9,1.14,1.03,14.98,3.85,3.93,4.46,4.39,4.25,2.42,4.31,3.85,9.45
c_0,1.3,1.12,1.42,0.5,0.83,0.97,4.18,13.56,2.85,5.15,10.52,5.31,6.26,6.08,6.76,6.3
g_1,0.91,0.9,1.96,0.95,0.79,0.89,3.48,4.9,19.55,4.08,3.77,7.77,7.31,6.02,4.75,3.74
d_0,1.36,1.05,0.25,2.12,0.96,1.16,2.98,4.34,3.21,13.95,4.77,3.7,6.8,5.66,3.88,7.34
b_0,1.36,1.31,1.19,1.12,0.42,0.68,2.25,4.79,4.44,5.28,15.75,4.98,8.24,12.99,6.52,9.0
f_0,0.39,1.0,1.18,1.31,1.39,1.11,3.62,4.43,3.78,5.52,5.06,16.74,6.8,5.52,11.27,6.9
h_0,1.64,0.83,1.1,0.95,0.98,1.05,1.45,4.84,5.08,6.22,5.84,4.08,3.31,5.54,4.96,10.42
a_0,1.24,1.12,1.05,1.35,1.03,,4.09,4.93,3.39,5.56,5.28,5.3,5.54,22.61,6.24,8.21
e_0,1.31,0.38,1.13,1.46,1.35,0.68,4.41,4.54,4.64,5.66,6.4,4.48,6.71,5.91,25.37,10.34
g_0,0.88,0.96,1.97,1.19,1.01,0.84,4.72,4.6,,4.82,3.25,8.4,5.29,5.24,4.98,3.57
