,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,13717.33,7288.61,6276.91,9455.88,12471.22,55499.9,8003543.79,13641831.93,45084276.21,31100735.07,38673085.69,52948043.25,198247872.72,167919311.79,384231821.68,318110201.67
f_1,10249.8,15687.8,7043.91,7205.4,12183.18,44111.66,7643682.49,12256489.23,27747439.73,31667001.32,27972543.06,51231979.94,197107066.31,130809605.73,311690576.09,283325565.17
d_1,6197.78,7665.72,17951.25,5992.77,10767.33,54356.97,9303791.51,14712629.8,21569379.76,54283357.74,40244228.82,63282021.64,206569690.76,226978311.87,463122210.33,324878496.73
c_1,4971.69,6766.68,7535.12,17993.06,19314.41,66971.84,7359089.03,13977292.83,25490326.72,20591806.31,34458272.23,35856057.56,196527134.35,189857958.45,331784040.89,263732078.04
b_1,5805.57,7142.7,7364.9,8083.28,30625.79,108928.46,7825797.3,13685625.72,26832634.68,27348026.8,31735789.7,33327198.72,209239623.28,201241319.27,381991008.89,211735896.59
a_1,6477.48,7466.32,7764.98,7290.25,12567.17,212307.86,9301001.86,13955441.97,26798111.88,32801832.0,40296443.5,53715952.15,210299522.74,236599705.29,408539262.95,199061902.61
h_1,6130.28,9632.68,8784.49,8038.37,10800.77,54747.46,15079906.86,18065118.48,25301968.28,34550491.72,39931424.1,55742698.0,184034033.02,199803315.48,516796537.42,294143955.29
g_1,5287.57,6526.27,11463.32,8891.38,11675.62,57400.76,8276129.67,28713410.11,22414718.96,35438776.41,59906859.72,61436795.4,236212662.18,250166961.11,398460074.29,319149113.93
d_0,5918.72,6787.15,5735.71,14329.89,14138.49,61852.63,8168798.16,15106609.04,42054723.44,24430159.99,42348184.02,44368671.19,199629085.93,196766442.6,391945631.17,276544298.86
c_0,6842.74,7759.45,9437.13,7214.1,9451.29,60950.43,9558032.52,17831580.43,32135052.83,50919830.94,48389354.6,96709589.17,243900415.07,218827962.72,426964828.46,413812293.25
f_0,4508.09,6260.64,9988.58,8940.56,12410.44,73855.79,9548104.3,15558240.73,27724172.3,35294444.01,62727964.56,57437073.82,193704893.68,475857973.81,463395274.57,363468209.06
b_0,6558.25,8086.02,8923.22,8609.44,9770.48,53330.55,9129895.98,18435278.44,29700850.03,33063314.1,47187701.17,87096333.11,254206687.25,236446652.46,423842599.37,619688419.13
h_0,6483.14,9658.38,9084.03,8291.14,11910.45,56129.86,7761145.82,20428906.37,27736005.07,28303024.74,40303688.89,52291433.18,174529928.03,206710728.43,514161870.89,326207827.27
e_0,4654.23,7132.1,8894.0,9735.12,12586.29,74143.63,10455059.01,18799185.57,28924206.02,33551826.59,38112473.3,59661883.02,243447509.53,471675691.54,446823657.69,312098860.17
g_0,5763.46,6724.85,11764.42,8293.43,11773.57,60769.1,9388758.52,14627906.73,25768111.72,39968249.31,60798508.48,56595454.44,202250383.05,276197225.02,413990759.09,283425368.38
a_0,6694.16,7978.2,9426.83,8316.4,12180.99,51001.99,9478812.19,19770488.9,25839491.53,31600722.15,38303827.47,57653057.57,254692423.36,256634804.98,429330284.57,611592172.6
