,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.49,0.15,0.13,0.17,0.14,0.08,0.22,0.17,0.18,0.32,0.19,0.2,0.27,,0.21,0.16
f_1,0.27,1.49,0.17,0.16,0.14,0.11,0.19,0.19,0.22,0.2,,0.2,0.24,0.13,0.16,0.11
d_1,0.16,0.18,1.52,0.16,0.16,0.14,0.2,0.15,0.33,,0.18,0.23,0.24,0.16,0.2,0.1
c_1,0.15,0.21,0.16,1.55,0.26,0.12,0.22,0.14,,0.2,0.19,0.18,0.27,0.15,0.2,0.15
b_1,0.18,0.19,0.14,0.12,1.62,0.22,0.22,0.15,0.22,0.21,0.21,,0.23,0.2,0.2,
a_1,0.25,0.21,0.2,0.17,0.15,1.72,0.23,0.18,0.23,0.19,0.19,0.16,0.2,,0.21,
h_1,0.37,0.52,0.39,0.34,0.4,0.28,1.64,0.62,0.51,0.4,0.42,0.42,,0.34,0.42,0.44
g_1,0.5,0.28,0.61,0.38,0.32,0.37,0.38,1.73,0.49,0.47,0.57,0.42,0.43,0.39,,0.4
c_0,0.5,0.44,0.43,,0.37,0.42,0.46,0.53,1.41,0.56,0.61,0.88,0.57,0.46,0.56,0.47
d_0,0.4,0.52,,0.7,0.45,0.45,0.6,0.46,0.47,1.38,0.57,0.49,0.6,0.42,0.58,0.5
f_0,0.54,,0.41,0.52,0.44,0.39,0.57,0.4,0.53,0.65,1.49,0.54,0.48,0.67,0.6,0.5
b_0,0.48,0.42,0.4,0.51,,0.41,0.59,0.61,0.45,0.63,0.48,1.5,0.53,0.58,0.62,0.7
h_0,0.58,0.73,0.55,0.58,0.52,0.62,,0.75,0.73,0.69,0.66,0.68,,0.59,0.86,0.54
e_0,,0.59,0.54,0.56,0.35,,0.65,0.59,0.56,0.64,0.66,0.42,0.69,1.62,0.5,
g_0,0.5,0.57,0.88,0.57,0.62,0.44,0.73,,0.82,0.73,0.81,0.47,0.75,0.8,,0.47
a_0,0.48,0.61,0.73,0.51,,,0.47,0.52,0.57,0.58,0.56,0.55,0.6,,0.72,1.66
