,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,3.63,0.68,0.35,0.48,0.38,0.28,0.81,0.85,0.81,0.65,0.8,0.15,0.9,0.61,0.61,0.69
e_1,0.41,3.76,0.36,0.45,0.35,0.43,0.75,1.42,0.68,0.83,0.64,0.89,0.83,0.34,0.81,0.82
d_1,0.42,0.4,4.11,0.26,0.37,0.41,0.81,0.22,0.77,1.61,0.96,0.86,0.91,1.07,1.09,0.82
c_1,0.41,0.36,0.37,4.35,0.72,0.36,0.72,0.96,0.55,0.17,0.73,0.84,1.1,0.72,0.72,0.74
b_1,0.36,0.47,0.43,0.44,5.05,0.82,0.73,0.71,0.7,0.65,0.18,0.65,0.61,0.44,0.46,0.77
a_1,0.41,0.34,0.46,0.4,0.34,7.03,0.69,0.76,0.58,0.89,0.84,1.06,1.07,0.88,0.37,1.22
h_1,1.05,0.5,0.8,0.63,0.6,0.58,4.96,1.21,1.77,1.44,1.31,1.06,0.58,1.67,1.32,1.97
d_0,0.87,0.72,0.19,1.49,0.59,0.54,1.12,3.46,0.8,1.01,1.31,1.56,1.43,1.62,1.17,1.59
g_1,0.58,0.51,1.14,0.64,0.69,0.7,0.88,1.18,6.21,1.14,1.77,2.72,1.44,1.73,1.69,0.71
c_0,0.84,0.56,0.85,0.23,0.63,0.65,1.64,1.2,1.79,4.15,3.17,1.61,1.87,1.72,2.28,1.86
b_0,0.69,0.83,0.78,0.79,0.16,0.43,1.6,1.47,1.92,1.43,4.68,1.74,1.58,2.02,3.3,1.4
f_0,0.35,0.61,1.03,0.63,0.96,0.47,1.02,1.28,1.64,1.57,1.72,4.93,1.73,3.5,1.57,1.86
h_0,0.94,0.61,0.63,0.71,0.62,0.8,0.61,1.31,1.37,1.36,1.62,1.64,0.72,1.7,1.63,1.99
e_0,0.84,0.21,0.73,0.72,0.85,0.56,1.67,1.82,1.42,1.79,2.15,1.87,1.99,6.41,1.19,2.86
a_0,0.87,0.68,0.84,0.74,0.64,,1.55,1.24,1.56,1.62,1.65,1.79,1.5,1.8,6.15,1.72
g_0,0.53,0.54,1.25,0.57,0.79,0.55,1.19,1.06,0.86,1.16,1.5,2.72,1.12,1.6,1.52,0.83
