,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.44,5.14,4.74,5.28,4.26,1.24,1.61,0.89,0.88,0.96,1.11,0.62,0.9,1.63,0.7
f_1,4.2,1.12,4.1,4.46,4.64,3.78,0.9,1.47,0.88,0.94,0.84,1.39,0.48,0.84,0.83,0.78
d_1,5.65,5.07,1.11,4.78,4.2,4.4,1.41,0.81,0.85,2.37,0.9,0.81,0.54,0.85,0.97,0.44
c_1,3.91,4.92,7.21,1.13,5.45,5.68,1.57,1.32,2.12,0.59,1.08,0.92,0.78,1.19,0.79,0.65
b_1,5.66,7.21,5.03,2.86,1.13,6.46,2.05,1.83,1.75,1.37,2.78,1.12,1.1,1.03,1.11,0.84
a_1,8.94,11.7,6.79,9.77,3.67,1.14,2.26,2.27,1.52,2.29,1.89,1.22,1.29,4.72,1.67,1.26
h_1,14.85,13.87,15.24,16.51,13.97,12.03,1.68,4.46,2.86,3.17,2.87,3.06,3.19,2.91,2.4,2.54
g_1,17.22,19.85,17.02,20.94,21.6,17.27,3.63,1.77,4.37,3.88,3.16,3.28,2.12,3.11,3.48,3.51
c_0,21.2,22.46,10.12,50.62,19.1,16.98,5.48,5.43,2.14,5.75,3.77,3.95,2.7,3.75,3.74,2.79
d_0,10.82,19.21,35.84,19.59,22.83,16.57,6.1,6.6,4.26,2.26,4.32,4.37,3.35,3.49,3.29,3.27
b_0,18.81,21.64,18.21,31.64,35.54,18.89,5.77,5.98,2.12,3.9,2.16,3.3,2.83,3.49,3.99,2.45
f_0,21.57,63.04,25.14,23.36,24.0,24.06,7.17,4.46,5.23,5.29,4.9,2.51,4.22,4.22,5.46,2.12
h_0,33.04,34.22,27.17,31.64,25.07,28.46,15.64,8.24,6.45,6.76,6.28,5.18,6.53,5.28,6.45,5.15
a_0,29.34,31.24,28.31,31.97,45.29,42.1,8.51,8.97,5.49,7.63,3.27,6.88,6.23,2.55,6.57,3.74
e_0,51.65,41.3,32.39,28.38,31.91,38.13,11.17,8.86,7.22,7.13,7.59,3.72,4.66,7.57,2.65,5.96
g_0,32.74,40.83,37.02,36.59,39.55,27.31,9.05,15.22,7.55,6.83,8.64,8.23,3.97,6.91,6.83,8.29
