,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.41,0.72,0.64,0.69,0.58,0.57,0.29,0.41,0.29,0.31,0.3,0.39,0.22,0.24,0.3,0.31
e_1,0.45,0.41,0.72,0.78,0.72,0.73,0.39,0.39,0.28,0.36,0.3,0.4,0.25,0.38,0.31,0.28
d_1,0.74,0.72,0.4,0.67,0.67,0.63,0.36,0.26,0.34,0.36,0.31,0.28,0.24,0.3,0.26,0.18
c_1,0.65,0.53,0.8,0.37,0.82,0.64,0.35,0.39,0.33,0.18,0.27,0.27,0.22,0.31,0.29,0.24
b_1,0.82,0.71,0.65,0.41,0.37,0.72,0.35,0.36,0.4,0.32,0.36,0.3,0.33,0.32,0.31,0.27
a_1,0.72,0.71,0.67,0.66,0.45,0.29,0.4,0.38,0.33,0.36,0.38,0.31,0.28,0.31,0.37,0.29
h_1,0.69,0.61,0.65,0.61,0.63,0.54,0.24,0.36,0.26,0.27,0.26,0.3,0.28,0.26,0.29,0.26
g_1,0.62,0.6,0.68,0.59,0.66,0.66,0.3,0.22,0.27,0.29,0.26,0.31,0.18,0.28,0.29,0.25
c_0,0.69,0.74,0.41,0.95,0.56,0.57,0.39,0.36,0.24,0.44,0.37,0.3,0.25,0.29,0.3,0.23
d_0,0.6,0.41,0.84,0.77,0.65,0.66,0.4,0.38,0.25,0.23,0.27,0.28,0.23,0.35,0.34,0.29
b_0,0.63,0.56,0.57,0.82,0.74,0.56,0.37,0.34,0.18,0.31,0.22,0.27,0.26,0.29,0.32,0.24
f_0,0.75,0.53,0.64,0.66,0.61,0.69,0.33,0.24,0.28,0.3,0.27,0.22,0.26,0.42,0.28,0.16
h_0,0.61,0.61,0.66,0.67,0.55,0.59,0.4,0.38,0.26,0.29,0.26,0.27,0.29,0.26,0.24,0.24
e_0,0.91,0.69,0.56,0.69,0.63,0.53,0.38,0.32,0.25,0.26,0.26,0.16,0.26,0.19,0.27,0.19
a_0,0.69,0.59,0.62,0.74,0.65,0.65,0.3,0.32,0.24,0.31,0.17,0.25,0.27,0.27,0.19,0.24
g_0,0.63,0.62,0.71,0.68,0.59,0.6,0.25,0.37,0.28,0.25,0.27,0.29,0.21,0.27,0.23,0.27
