,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.43,0.52,0.38,0.45,0.37,0.49,0.88,0.62,0.49,0.63,0.55,0.62,0.42,0.21,0.55
f_1,0.75,1.51,0.44,0.5,0.36,0.37,0.47,0.55,0.52,0.45,0.52,0.21,0.52,0.47,0.45,0.49
c_1,0.44,0.52,1.53,0.5,0.72,0.35,0.52,0.47,0.17,0.47,0.38,0.52,0.62,0.48,0.45,0.53
d_1,0.47,0.48,0.37,1.54,0.45,0.31,0.57,0.38,0.89,0.48,0.65,0.59,0.59,0.56,0.49,0.49
b_1,0.45,0.55,0.4,0.47,1.62,0.79,0.56,0.54,0.51,0.49,0.17,0.47,0.58,0.33,0.52,0.6
a_1,0.46,0.6,0.61,0.58,0.32,1.73,0.56,0.68,0.68,0.5,0.59,0.57,0.67,0.24,0.42,0.58
h_1,0.76,0.97,0.72,0.77,0.62,0.6,1.69,0.81,0.83,0.81,0.73,0.75,0.37,0.71,0.77,0.92
d_0,0.63,0.75,1.42,0.34,0.61,0.61,0.9,1.44,0.72,0.75,1.02,0.88,0.99,0.77,0.74,0.85
c_0,0.83,0.89,0.65,0.77,0.55,0.59,0.8,1.13,1.51,0.83,1.61,0.93,0.97,0.75,0.76,1.01
g_1,0.7,0.72,0.74,1.03,0.62,0.57,0.88,0.94,0.79,1.8,0.83,1.37,0.74,0.78,0.84,0.61
b_0,0.88,0.9,0.95,0.75,0.47,0.53,0.92,0.98,0.75,0.78,1.57,0.82,0.97,1.19,0.68,1.01
f_0,0.75,0.48,0.99,0.68,0.87,0.76,1.12,1.01,0.96,0.78,0.89,1.58,1.03,0.86,1.22,0.91
h_0,0.67,1.14,0.84,0.92,0.76,0.49,0.67,1.02,0.91,1.09,0.9,0.82,0.57,0.75,0.76,1.04
a_0,0.98,0.82,0.81,0.8,0.7,,1.09,1.07,1.04,0.92,0.82,1.04,1.22,1.67,0.79,0.99
e_0,0.64,0.93,0.81,0.86,0.73,0.66,0.94,1.23,1.04,1.1,1.13,0.9,1.04,1.1,1.69,0.89
g_0,0.78,0.76,0.84,1.31,0.7,0.56,0.84,0.86,0.7,0.5,0.84,1.12,1.06,0.71,0.86,0.64
