,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.37,2.23,1.94,2.05,1.75,0.6,0.63,0.84,0.54,0.61,0.91,0.4,0.53,0.52,0.46
e_1,1.46,1.06,2.73,2.42,2.37,1.81,0.85,0.86,0.96,0.86,0.66,0.74,0.56,0.57,1.24,0.63
c_1,2.72,1.85,1.06,2.7,2.58,2.01,0.92,0.48,0.82,0.77,0.61,0.59,0.59,0.58,0.6,0.47
d_1,2.69,2.91,2.51,1.06,2.56,1.77,0.83,1.32,0.56,0.78,0.73,0.59,0.49,0.55,0.57,0.4
b_1,2.86,2.65,1.61,2.82,1.06,3.11,1.31,0.86,1.01,0.97,1.54,0.9,0.63,0.86,0.63,0.57
a_1,4.32,4.12,3.31,4.31,1.9,1.07,1.66,1.25,1.63,1.12,1.74,1.08,0.96,2.08,1.1,0.74
h_1,6.37,6.07,6.18,6.17,5.21,5.0,1.34,1.81,2.63,1.81,1.75,1.71,1.96,1.45,1.55,1.68
d_0,7.38,4.23,8.23,7.62,6.19,5.48,3.03,1.51,2.32,1.71,1.82,1.68,1.59,1.88,1.51,1.79
g_1,8.3,7.05,7.75,7.79,7.35,4.77,2.08,2.46,1.36,2.23,2.06,2.31,1.36,1.86,2.03,2.22
c_0,9.36,7.46,15.64,4.29,7.76,6.41,2.91,2.91,2.42,1.5,2.2,2.14,2.06,2.32,1.88,1.74
b_0,8.26,8.09,11.0,5.98,12.35,7.25,3.16,2.5,2.94,1.56,1.49,2.51,2.17,2.82,1.82,2.05
f_0,12.5,8.45,9.35,9.47,6.75,6.86,3.33,3.2,1.86,2.57,2.49,1.54,2.1,2.18,2.91,1.43
h_0,10.44,10.18,8.86,8.78,9.01,6.77,4.78,3.17,3.94,2.39,2.53,2.34,2.84,2.44,2.38,2.03
a_0,11.31,11.1,10.13,9.68,10.83,10.74,4.32,3.12,4.33,2.83,1.88,3.07,2.47,1.64,2.89,2.01
e_0,14.13,14.12,10.09,9.85,9.89,8.06,4.4,3.72,3.42,2.7,2.97,1.64,2.32,2.75,1.6,2.34
g_0,12.42,10.13,11.65,12.36,11.37,11.34,3.06,3.31,5.17,3.39,3.06,3.32,2.16,2.9,3.02,3.15
