,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.76,1.48,1.99,1.27,1.47,1.23,5.69,13.62,4.64,7.4,7.61,8.27,11.72,8.52,5.35,10.55
f_1,2.8,6.16,1.4,1.4,1.14,1.62,4.65,6.18,4.2,6.19,7.06,3.05,9.76,6.38,4.67,9.53
c_1,1.32,1.59,6.27,1.43,2.82,1.33,6.27,6.33,5.37,2.56,4.85,7.47,10.21,7.07,7.42,8.22
d_1,1.36,1.7,1.29,6.75,1.46,1.22,5.22,3.12,6.78,13.89,9.53,7.7,11.61,9.73,7.89,12.13
b_1,1.18,1.36,1.65,1.5,7.57,3.26,4.96,6.08,5.46,7.28,3.66,7.33,10.22,4.79,7.53,12.42
a_1,1.81,1.79,1.2,1.62,1.52,10.86,6.91,6.96,5.52,6.77,7.22,5.72,11.75,3.08,8.22,11.06
h_1,1.82,2.73,1.81,1.65,1.91,1.65,18.2,8.01,9.59,6.87,8.3,9.06,7.91,9.5,8.24,15.06
d_0,1.66,1.75,3.65,1.04,1.71,1.62,6.92,15.9,6.88,6.01,9.51,8.9,12.01,8.19,10.39,14.75
g_1,1.63,1.55,1.68,3.25,1.71,1.58,5.63,6.05,20.34,9.59,8.48,13.49,14.7,6.55,11.31,9.23
c_0,1.76,2.11,1.06,2.34,1.3,1.88,7.34,8.88,6.46,17.03,18.22,10.98,15.16,12.32,10.03,15.46
b_0,2.0,2.09,2.06,2.06,0.89,1.47,6.81,8.72,8.29,8.95,18.51,10.11,14.04,20.34,10.22,13.32
f_0,1.47,1.08,2.19,2.37,1.96,1.74,6.85,8.58,8.11,8.6,9.73,19.91,14.14,11.33,19.8,15.65
h_0,1.83,2.64,1.76,2.38,1.49,1.91,3.71,8.38,8.82,8.41,9.05,7.92,8.59,9.13,9.12,20.05
a_0,1.88,2.36,1.95,1.93,1.39,1.25,6.2,9.56,6.46,10.35,10.43,8.27,15.26,25.29,10.31,13.82
e_0,1.14,1.98,2.08,2.05,2.12,2.23,6.78,8.15,7.97,7.52,9.88,8.69,15.51,8.42,26.19,15.14
g_0,1.65,1.64,1.65,3.27,1.63,1.91,7.29,7.05,4.84,9.53,8.5,14.84,13.25,8.83,10.03,9.14
