,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.14,11.83,11.86,10.55,9.49,9.79,2.42,2.13,4.81,1.67,8.18,2.06,1.97,1.26,2.25,1.89
e_1,5.91,1.14,8.46,15.4,14.4,12.66,3.13,2.36,3.25,2.57,2.57,2.55,1.79,1.79,5.5,1.79
d_1,12.2,14.3,1.14,14.36,11.53,12.92,3.06,11.84,1.95,2.88,2.16,1.89,2.06,1.39,2.39,0.95
c_1,12.67,11.95,16.14,1.14,12.81,11.87,3.47,1.23,4.11,13.15,2.12,2.56,3.05,1.54,2.29,1.79
b_1,17.15,12.48,19.13,7.07,1.14,13.19,3.91,3.42,4.3,3.3,3.52,12.86,3.26,2.23,2.45,2.53
a_1,25.61,20.4,19.02,22.93,10.88,1.15,8.04,5.97,5.27,5.58,4.92,7.79,,3.29,3.67,3.41
h_1,28.63,25.05,25.45,24.33,26.32,23.74,1.88,4.91,7.03,4.15,4.75,4.89,4.48,11.5,4.7,3.85
d_0,37.88,16.89,87.08,32.19,44.54,32.74,10.4,2.8,11.08,8.53,6.62,7.47,7.88,5.59,6.87,6.62
g_1,33.98,33.94,36.36,42.49,33.28,37.98,8.19,8.09,1.91,5.35,5.79,8.38,5.88,3.91,7.0,12.26
c_0,34.96,32.72,18.08,144.86,44.54,38.76,9.82,7.99,12.34,2.64,6.62,6.58,8.21,5.59,7.55,5.81
f_0,145.44,34.26,36.36,40.34,34.88,38.76,12.28,7.8,9.34,6.64,2.7,8.01,5.88,5.59,7.4,3.52
b_0,44.34,36.32,30.93,49.03,170.29,31.65,11.79,9.21,9.48,4.02,6.86,2.61,8.21,7.11,8.95,6.37
a_0,88.68,51.89,57.05,56.91,62.93,,17.33,12.28,17.21,7.99,9.11,5.17,3.05,8.32,11.0,7.7
h_0,52.7,51.15,58.05,54.95,61.6,65.48,46.53,10.87,14.53,9.86,9.27,10.05,11.94,23.0,11.32,7.88
e_0,80.8,165.09,44.72,48.29,51.7,54.26,19.22,8.61,15.95,10.88,4.83,11.52,9.61,7.24,2.83,6.25
g_0,62.69,71.22,64.88,54.95,85.15,75.96,15.51,13.81,40.88,15.02,14.26,13.49,11.94,7.82,16.04,
