,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,32.71,28.75,35.59,41.31,38.59,6.01,9.04,6.18,6.03,6.39,,3.08,5.63,7.54,5.91
d_1,26.92,0.44,43.08,41.83,34.64,29.88,9.24,6.03,6.27,,6.98,7.23,5.6,8.31,5.62,2.69
e_1,17.56,43.5,0.44,41.43,36.77,41.1,10.38,8.96,7.72,6.08,5.1,8.79,5.22,4.89,,10.45
c_1,30.64,35.07,37.54,0.41,45.9,36.46,8.57,10.06,,3.83,8.72,6.47,5.36,9.15,6.77,7.07
b_1,50.8,44.05,41.68,20.06,0.39,40.79,11.94,7.65,9.77,9.09,,10.03,4.23,9.86,8.5,3.75
a_1,51.27,45.83,52.07,37.72,20.26,0.33,19.4,15.46,7.05,10.43,11.45,12.05,6.98,,,
h_1,19.95,22.56,20.05,21.64,15.61,17.94,0.37,3.95,4.57,3.29,3.15,2.84,,3.61,2.92,2.27
g_1,22.37,18.99,22.08,18.67,35.69,15.88,3.51,0.34,4.78,5.94,3.58,3.23,2.1,6.41,3.62,
c_0,14.35,7.78,17.59,,16.13,14.75,4.55,5.12,0.49,4.0,3.24,2.83,2.43,4.57,4.88,1.57
d_0,15.24,,8.36,14.03,16.14,18.42,4.39,10.34,3.27,0.47,3.49,3.9,1.93,2.76,3.4,2.74
b_0,23.18,14.28,16.13,16.67,,17.51,4.47,4.51,2.18,3.67,0.47,4.1,1.83,4.5,3.64,2.19
f_0,,19.83,20.23,16.42,13.57,15.71,6.26,3.02,4.06,4.12,3.41,0.46,2.95,2.99,3.07,1.33
h_0,13.18,10.97,13.45,13.7,11.09,9.67,,3.78,2.03,2.07,2.71,2.08,,2.39,2.79,1.55
a_0,24.75,21.07,19.78,26.59,18.63,,6.3,5.77,3.13,5.1,2.23,3.32,3.21,0.39,,2.92
e_0,26.45,21.23,,21.31,24.31,,4.29,8.08,5.26,3.41,5.06,1.88,2.55,,0.36,
g_0,14.88,16.62,15.7,10.93,14.34,,2.93,,3.02,3.3,3.61,2.58,1.42,2.51,,
