,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.43,0.42,0.25,0.26,0.3,0.23,0.58,0.61,0.58,0.54,0.69,,0.57,0.61,0.6,0.73
e_1,0.22,2.44,0.27,0.22,0.26,0.26,0.51,0.53,0.92,0.58,0.59,0.71,0.6,0.8,,0.87
d_1,0.32,0.22,2.57,0.21,0.26,0.26,0.52,0.98,,0.51,0.65,0.66,0.58,0.77,0.61,0.67
c_1,0.3,0.3,0.3,2.59,0.47,0.25,0.42,,0.59,0.57,0.48,0.68,0.68,0.76,0.63,0.62
b_1,0.31,0.3,0.29,0.18,2.68,0.44,0.5,0.56,0.74,0.65,,0.56,0.47,0.84,0.46,0.77
a_1,0.34,0.24,0.23,0.29,0.23,3.13,0.68,0.65,0.6,0.44,0.58,0.54,,0.76,0.68,0.84
h_1,0.59,0.61,0.41,0.59,0.45,0.41,3.77,1.35,1.22,1.06,1.13,1.35,1.27,,1.15,1.68
c_0,0.65,0.66,0.61,,0.64,0.57,1.01,3.31,1.04,1.35,2.17,1.12,1.29,1.98,1.43,1.63
d_0,0.64,0.63,,1.01,0.54,0.54,1.16,1.46,3.4,1.06,1.39,1.64,1.22,1.21,1.74,1.35
g_1,0.46,0.47,0.71,0.57,0.46,0.6,0.8,1.07,1.15,4.15,1.08,1.6,1.26,1.78,,
b_0,0.58,0.57,0.67,0.69,,0.61,1.34,1.23,1.27,1.38,3.51,1.27,2.41,1.47,1.12,1.74
f_0,,0.42,0.59,0.68,0.7,0.76,1.14,1.32,1.21,1.14,1.32,3.77,1.7,1.62,2.43,1.63
a_0,0.65,0.57,0.58,0.45,0.7,,1.55,1.46,1.51,1.26,0.92,0.89,4.26,2.14,1.67,
h_0,0.91,0.78,0.84,0.76,0.57,0.8,,1.8,2.16,1.18,1.91,1.55,1.43,,1.51,2.08
e_0,0.57,,0.57,0.59,0.81,0.54,1.59,1.24,0.87,,1.28,1.18,1.15,2.54,4.53,
g_0,0.57,0.65,1.09,0.98,0.66,0.7,1.73,1.69,1.69,,1.67,2.17,,1.7,,
