,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.19,1.35,1.29,1.31,1.08,0.46,0.62,0.43,0.51,0.45,0.59,0.3,0.45,0.37,0.41
d_1,1.34,0.65,1.43,1.28,1.23,1.16,0.62,0.42,0.5,0.73,0.44,0.46,0.33,0.44,0.44,0.25
e_1,0.87,1.38,0.65,1.43,1.4,1.49,0.59,0.71,0.5,0.62,0.49,0.62,0.43,0.48,0.66,0.43
c_1,1.36,1.59,1.15,0.64,1.58,1.14,0.53,0.6,0.58,0.32,0.44,0.41,0.45,0.38,0.47,0.39
b_1,1.49,1.5,1.44,0.85,0.62,1.49,0.84,0.6,0.7,0.6,0.99,0.54,0.46,0.58,0.57,0.46
a_1,2.02,1.65,1.67,1.97,0.93,0.57,0.82,0.76,0.68,0.56,0.73,0.62,0.56,0.9,0.55,0.49
h_1,2.42,1.89,1.94,2.01,2.02,1.61,0.55,1.06,0.81,0.75,0.81,0.72,1.01,0.84,0.67,0.68
g_1,2.33,2.18,1.93,2.41,2.3,1.74,0.76,0.54,0.78,0.79,0.77,0.84,0.45,0.75,0.68,0.71
c_0,2.68,1.44,2.19,3.47,2.33,1.81,1.01,1.0,0.6,1.03,0.86,0.85,0.64,0.79,0.72,0.6
d_0,2.07,3.07,1.35,2.72,2.17,2.33,1.05,1.06,0.76,0.6,0.94,0.75,0.65,0.74,0.71,0.74
b_0,2.39,1.96,2.31,2.99,3.23,1.78,0.87,0.99,0.54,0.74,0.58,0.76,0.74,1.06,0.68,0.57
f_0,3.13,2.21,2.07,2.5,2.38,1.91,1.12,0.73,0.78,0.92,0.86,0.59,0.76,0.9,1.03,0.44
h_0,2.72,2.69,2.38,2.51,2.31,1.92,1.22,1.33,0.82,0.9,0.85,0.79,0.86,0.87,0.84,0.77
a_0,2.85,2.26,2.59,2.8,2.87,3.33,1.09,1.04,0.88,0.95,0.56,0.82,0.8,0.57,0.77,0.85
e_0,3.89,2.29,3.13,2.89,2.28,2.34,1.2,1.13,0.96,1.01,0.93,0.5,0.81,0.97,0.57,0.68
g_0,2.75,3.59,2.55,2.63,2.31,2.37,0.92,1.38,0.95,1.04,1.01,1.09,0.66,0.98,1.07,0.96
