,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.13,0.18,0.23,0.14,0.09,0.19,0.33,0.13,0.16,0.16,0.16,0.16,0.12,0.07,0.12
d_1,0.18,0.9,0.2,0.14,0.14,0.1,0.17,0.08,0.15,0.32,0.16,0.18,0.16,0.1,0.11,0.17
f_1,0.32,0.18,0.88,0.17,0.15,0.09,0.15,0.17,0.12,0.15,0.16,0.05,0.18,0.12,0.07,0.11
c_1,0.17,0.18,0.19,0.88,0.28,0.09,0.17,0.19,0.12,0.04,0.11,0.12,0.13,0.1,0.09,0.15
b_1,0.18,0.2,0.2,0.14,0.88,0.23,0.16,0.16,0.15,0.16,0.05,0.13,0.16,0.07,0.09,0.11
a_1,0.22,0.2,0.19,0.2,0.13,0.87,0.16,0.13,0.14,0.17,0.13,0.12,0.15,0.04,0.08,0.13
h_1,0.19,0.27,0.32,0.21,0.18,0.11,0.57,0.19,0.21,0.18,0.2,0.13,0.09,0.13,0.12,0.2
d_0,0.24,0.11,0.22,0.42,0.17,0.12,0.24,0.43,0.16,0.14,0.21,0.13,0.2,0.14,0.1,0.16
g_1,0.2,0.36,0.17,0.23,0.15,0.12,0.2,0.19,0.56,0.18,0.17,0.32,0.14,0.11,0.12,0.1
c_0,0.22,0.3,0.27,0.09,0.14,0.12,0.21,0.24,0.17,0.45,0.36,0.19,0.24,0.15,0.13,0.18
b_0,0.26,0.27,0.25,0.25,0.08,0.08,0.23,0.24,0.17,0.18,0.41,0.17,0.23,0.28,0.12,0.15
f_0,0.24,0.29,0.12,0.21,0.17,0.13,0.23,0.21,0.22,0.24,0.21,0.43,0.18,0.16,0.28,0.18
h_0,0.23,0.29,0.28,0.25,0.13,0.12,0.12,0.22,0.23,0.19,0.16,0.16,0.12,0.14,0.12,0.25
a_0,0.23,0.27,0.24,0.25,0.19,0.04,0.23,0.21,0.22,0.2,0.17,0.19,0.24,0.36,0.14,0.14
e_0,0.13,0.28,0.25,0.2,0.18,0.1,0.26,0.28,0.2,0.2,0.21,0.17,0.25,0.17,0.4,0.23
g_0,0.18,0.4,0.24,0.19,0.17,0.11,0.22,0.2,0.11,0.24,0.2,0.24,0.2,0.13,0.13,0.1
