,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.94,0.45,0.44,0.35,0.37,0.25,0.27,0.21,0.42,0.19,0.3,0.24,0.26,0.22,0.17,0.15
e_1,0.37,0.94,0.37,0.5,0.37,0.29,0.32,0.26,0.29,0.44,0.29,0.25,0.24,0.22,0.18,0.12
f_1,0.45,0.7,0.94,0.4,0.29,0.26,0.28,0.21,0.22,0.25,0.24,0.15,0.21,0.18,0.15,0.15
c_1,0.43,0.38,0.46,0.94,0.61,0.26,0.32,0.26,0.16,0.23,0.15,0.19,0.26,0.23,0.17,0.2
b_1,0.48,0.46,0.53,0.36,0.94,0.49,0.24,0.24,0.25,0.27,0.18,0.24,0.26,0.23,0.13,0.17
a_1,0.58,0.52,0.52,0.5,0.35,0.93,0.31,0.27,0.33,0.3,0.33,0.31,0.32,0.21,0.19,0.19
h_1,0.78,0.5,0.81,0.59,0.66,0.38,0.75,0.53,0.45,0.39,0.35,0.34,0.27,0.43,0.29,0.31
g_1,1.13,0.59,0.73,0.59,0.62,0.46,0.39,0.74,0.39,0.3,0.38,0.46,0.32,0.25,0.32,0.29
c_0,0.72,0.77,0.85,0.53,0.51,0.43,0.5,0.47,0.66,0.49,0.71,0.36,0.47,0.38,0.37,0.31
d_0,0.53,0.58,0.84,1.16,0.6,0.39,0.54,0.48,0.35,0.65,0.37,0.39,0.43,0.38,0.31,0.31
b_0,0.8,0.69,0.84,0.92,0.4,0.35,0.5,0.44,0.39,0.56,0.66,0.36,0.45,0.35,0.65,0.28
f_0,0.93,0.74,0.55,0.88,0.61,0.42,0.56,0.42,0.49,0.51,0.47,0.63,0.48,0.34,0.32,0.51
h_0,0.82,0.82,1.15,0.79,0.64,0.4,0.42,0.61,0.46,0.48,0.48,0.37,0.35,0.51,0.24,0.34
g_0,1.14,0.83,0.88,0.75,0.61,0.6,0.49,0.4,0.52,0.49,0.48,0.64,0.41,0.35,0.37,0.38
a_0,0.92,0.76,0.93,0.98,0.9,0.24,0.51,0.49,0.45,0.49,0.36,0.45,0.64,0.39,0.62,0.35
e_0,1.07,0.57,0.99,0.75,0.8,0.46,0.56,0.49,0.55,0.49,0.54,0.38,0.53,0.36,0.39,0.62
