,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.4,0.59,0.74,0.67,0.64,0.61,0.31,0.4,0.33,0.3,0.37,0.28,0.2,0.29,0.3,0.28
d_1,0.79,0.4,0.76,0.65,0.68,0.55,0.36,0.26,0.35,0.33,0.28,0.29,0.24,0.19,0.28,0.26
e_1,0.45,0.64,0.4,0.77,0.69,0.73,0.4,0.4,0.39,0.33,0.37,0.35,0.28,0.27,0.34,0.5
c_1,0.66,0.83,0.57,0.39,0.77,0.55,0.32,0.34,0.2,0.33,0.31,0.25,0.27,0.26,0.3,0.28
b_1,0.74,0.69,0.66,0.42,0.37,0.93,0.4,0.39,0.3,0.35,0.3,0.4,0.25,0.28,0.28,0.3
a_1,0.77,0.8,0.61,0.82,0.38,0.3,0.38,0.37,0.36,0.29,0.31,0.35,0.28,0.27,0.38,0.32
h_1,0.69,0.65,0.6,0.66,0.58,0.6,0.24,0.38,0.28,0.27,0.27,0.28,0.3,0.25,0.24,0.26
g_1,0.67,0.67,0.62,0.7,0.63,0.56,0.28,0.22,0.28,0.28,0.28,0.32,0.2,0.23,0.26,0.27
d_0,0.62,0.79,0.42,0.76,0.69,0.61,0.35,0.41,0.23,0.25,0.3,0.27,0.25,0.25,0.29,0.3
c_0,0.74,0.43,0.63,0.91,0.64,0.61,0.38,0.33,0.4,0.22,0.28,0.33,0.25,0.24,0.3,0.3
f_0,0.78,0.6,0.61,0.68,0.59,0.57,0.34,0.27,0.35,0.26,0.22,0.28,0.24,0.17,0.27,0.32
b_0,0.73,0.56,0.56,0.77,0.76,0.54,0.34,0.31,0.3,0.18,0.27,0.21,0.26,0.23,0.34,0.26
h_0,0.7,0.59,0.58,0.62,0.66,0.58,0.42,0.35,0.3,0.26,0.27,0.25,0.28,0.27,0.26,0.25
g_0,0.61,0.68,0.62,0.67,0.56,0.59,0.28,0.4,0.27,0.28,0.32,0.27,0.19,0.27,0.27,0.26
a_0,0.58,0.65,0.6,0.7,0.77,0.8,0.36,0.37,0.26,0.24,0.28,0.17,0.26,0.23,0.18,0.25
e_0,0.86,0.6,0.61,0.64,0.6,0.55,0.32,0.3,0.3,0.23,0.18,0.28,0.27,0.22,0.33,0.18
