,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,16.73,1.25,0.49,0.42,0.48,0.44,0.78,0.73,0.73,0.81,0.81,0.38,1.0,0.98,0.78,0.51
e_1,0.58,16.87,0.47,0.71,0.54,0.59,0.82,0.73,0.92,2.13,0.8,0.96,1.02,0.96,1.0,0.42
d_1,0.69,0.44,18.2,0.44,0.47,0.53,0.93,1.14,2.11,0.39,1.15,0.88,0.98,0.97,1.01,1.01
c_1,0.51,0.44,0.58,21.25,1.11,0.4,0.71,0.64,0.23,0.8,0.65,0.97,0.59,0.7,0.93,0.91
b_1,0.43,0.52,0.53,0.56,21.7,1.09,1.0,0.75,0.92,0.77,0.42,0.83,1.1,0.6,0.84,0.88
a_1,0.66,0.46,0.56,0.54,0.48,30.63,0.89,0.82,0.75,0.93,1.29,1.19,1.21,0.47,0.94,1.29
h_1,1.04,0.49,0.87,0.67,0.55,0.58,5.61,1.53,1.26,1.09,1.23,1.02,0.67,1.11,2.02,1.37
g_1,0.43,0.58,1.43,0.72,0.62,0.57,1.05,7.03,1.16,0.82,1.3,1.97,1.13,1.13,0.74,1.28
c_0,0.7,0.62,0.78,0.32,0.53,0.93,1.27,1.32,3.26,1.22,3.16,1.77,1.32,1.5,1.42,1.48
d_0,0.58,0.66,0.29,2.15,0.72,0.61,1.02,1.25,0.75,2.93,1.15,1.26,1.02,1.06,1.06,1.4
b_0,0.73,0.55,0.67,0.79,0.34,0.69,1.19,1.54,1.26,1.17,4.14,1.44,1.32,3.49,1.42,1.76
f_0,0.28,0.46,0.72,0.79,0.69,0.98,1.47,1.19,1.19,1.26,1.47,4.07,1.36,1.48,1.33,4.05
h_0,1.07,0.58,0.76,0.68,0.64,0.71,0.68,1.59,1.2,1.11,1.2,1.37,0.6,1.66,1.84,0.9
a_0,0.58,0.63,0.95,0.7,0.68,0.34,1.51,1.47,1.1,1.0,1.43,1.39,1.62,5.53,1.46,1.17
g_0,0.53,0.57,1.26,0.69,0.58,0.77,1.35,0.82,1.18,1.07,1.16,2.01,1.18,1.33,0.68,1.8
e_0,0.71,0.26,0.79,0.95,0.69,0.75,1.37,1.38,1.14,1.15,1.21,1.46,1.63,1.38,1.08,5.74
