,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.47,1.21,1.35,1.45,1.27,0.46,0.5,0.45,0.69,0.46,0.7,0.34,0.46,0.4,0.45
e_1,0.93,0.66,1.54,1.5,1.58,1.48,0.69,0.61,0.48,0.65,0.45,0.57,0.38,0.57,0.84,0.41
d_1,1.48,1.52,0.64,1.61,1.4,1.22,0.56,0.78,0.62,0.43,0.55,0.47,0.39,0.43,0.46,0.28
c_1,1.4,1.3,1.48,0.64,1.75,1.48,0.69,0.33,0.8,0.57,0.47,0.48,0.46,0.42,0.46,0.45
b_1,1.71,1.51,1.53,0.93,0.64,1.59,0.79,0.61,0.68,0.78,1.03,0.51,0.5,0.52,0.48,0.45
a_1,1.96,1.84,1.8,1.97,0.95,0.58,1.17,0.87,0.64,0.9,0.79,0.75,0.56,1.07,0.72,0.59
h_1,2.96,2.07,2.33,2.15,1.93,1.52,0.56,0.72,0.8,1.06,0.92,0.72,0.82,0.75,0.69,0.62
d_0,2.3,1.53,4.06,3.23,2.34,1.81,1.06,0.62,0.76,0.93,0.86,0.93,0.71,0.78,0.88,0.77
c_0,2.56,2.88,1.36,3.14,2.39,2.11,1.06,1.55,0.62,1.18,1.06,0.76,0.67,0.84,0.76,0.72
g_1,2.96,2.41,2.8,2.56,2.26,1.92,0.86,0.97,0.91,0.54,0.89,1.02,0.63,0.76,0.87,0.91
b_0,2.97,2.64,2.16,3.48,3.08,1.94,1.01,1.03,0.58,1.21,0.59,0.83,0.74,0.86,0.86,0.79
f_0,4.57,2.37,2.45,2.94,2.61,2.07,1.18,1.02,1.04,0.77,0.88,0.58,0.81,0.72,1.07,0.48
h_0,2.95,2.81,2.61,2.9,2.58,2.41,1.68,1.06,1.04,1.11,1.05,0.92,1.17,0.9,0.8,0.92
a_0,2.98,2.71,2.85,3.13,3.63,3.66,1.25,1.15,1.09,1.18,0.67,1.02,1.03,0.57,1.01,0.84
e_0,4.88,3.92,2.84,2.88,3.49,2.25,1.28,1.11,1.03,1.07,1.01,0.56,1.05,1.19,0.55,0.82
g_0,3.42,3.12,3.21,3.27,3.21,2.08,1.08,1.13,1.03,1.51,0.99,1.16,0.69,0.94,1.16,1.05
