,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.45,1.15,2.03,2.39,1.92,2.3,0.61,0.43,0.6,0.4,0.32,0.37,0.28,1.02,0.41,0.37
f_1,1.93,0.44,1.89,1.89,2.18,1.54,0.4,0.44,0.7,0.35,0.36,0.68,0.21,0.29,0.34,0.32
d_1,2.52,2.32,0.41,2.17,2.19,1.89,0.56,1.27,0.36,0.34,0.35,0.4,0.27,0.44,0.35,0.19
c_1,1.61,2.21,2.56,0.41,2.4,2.15,0.58,0.22,0.69,1.0,0.52,0.5,0.31,0.38,0.38,0.23
b_1,2.33,2.29,2.46,1.23,0.39,2.69,0.62,0.5,0.72,0.61,1.93,0.52,0.47,0.49,0.74,0.33
a_1,3.01,3.14,3.27,2.8,1.36,0.32,0.93,0.71,0.77,0.76,0.81,0.56,0.48,0.71,1.98,0.6
h_1,3.19,3.91,3.35,3.38,3.25,2.73,0.33,0.85,1.12,0.68,0.74,0.56,0.94,0.62,0.69,0.48
d_0,1.89,4.14,6.59,4.72,3.75,3.46,1.17,0.39,1.22,1.03,0.78,0.73,0.51,0.61,0.76,0.64
g_1,3.84,4.69,3.48,3.83,3.92,3.9,0.8,0.88,0.3,0.79,0.86,0.65,0.42,0.84,0.65,0.81
c_0,4.84,4.0,1.86,10.89,4.53,2.88,1.23,1.04,1.01,0.37,0.78,0.78,0.5,0.74,0.74,0.57
b_0,3.72,3.58,3.11,5.02,9.96,4.18,1.24,0.98,1.25,0.46,0.36,0.8,0.58,0.83,0.7,0.7
f_0,4.3,9.25,3.46,4.8,4.08,3.93,1.33,0.75,0.66,0.88,0.9,0.36,0.58,0.66,0.94,0.38
h_0,4.2,4.91,4.2,4.92,3.8,4.74,2.08,1.0,1.25,0.97,0.95,0.94,1.21,0.98,0.76,0.73
e_0,6.42,7.37,4.15,6.34,5.82,4.45,1.35,1.03,1.22,0.97,0.95,0.49,0.7,0.31,0.87,0.65
a_0,4.82,5.19,4.52,6.61,6.81,11.63,1.58,1.13,1.07,0.9,0.46,1.41,0.8,1.14,0.32,0.75
g_0,5.49,6.5,5.21,5.03,5.3,4.67,1.3,1.1,2.89,1.15,1.4,1.09,0.57,0.98,1.12,1.16
