,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.75,0.55,1.17,0.63,0.6,0.37,2.45,2.43,2.17,2.64,3.28,0.52,3.28,2.34,1.84,4.06
d_1,0.71,6.15,0.44,0.49,0.62,0.54,2.36,0.53,2.39,5.39,2.86,2.84,5.03,3.75,3.55,4.36
e_1,0.59,0.55,6.13,0.62,0.58,0.72,1.92,5.64,2.06,2.85,2.97,2.94,4.41,2.66,0.92,3.67
c_1,0.6,0.61,0.55,6.65,0.99,0.64,1.66,2.86,2.48,0.61,2.39,3.11,4.2,3.14,2.13,4.69
b_1,0.54,0.77,0.55,0.49,7.4,1.17,2.46,2.58,1.81,2.32,0.5,2.76,4.83,1.94,2.69,4.65
a_1,0.65,0.64,0.58,0.56,0.68,10.13,2.08,3.04,2.3,2.78,2.16,3.12,4.24,0.61,3.64,3.87
h_1,1.32,0.82,1.07,1.26,0.85,0.88,15.35,3.71,4.74,5.38,5.68,4.95,3.78,5.3,6.1,8.46
d_0,0.96,0.4,0.89,2.28,0.84,1.09,4.18,13.16,2.66,4.36,6.88,5.77,6.49,5.0,5.24,7.56
g_1,0.94,1.58,0.82,1.02,1.03,0.71,3.37,5.43,18.7,3.8,5.73,8.62,8.53,4.97,6.43,3.25
c_0,1.2,0.89,1.38,0.42,0.78,0.99,4.34,6.02,3.58,14.67,12.58,6.48,9.2,5.55,6.59,7.31
b_0,1.16,1.19,1.09,1.31,0.26,0.85,4.23,5.72,4.0,5.02,15.23,4.7,9.57,10.93,7.02,7.57
f_0,0.49,1.12,0.89,1.32,1.27,1.0,3.54,6.39,4.17,5.74,5.35,17.4,7.13,5.92,11.82,7.03
h_0,1.68,1.14,0.86,1.0,0.9,0.94,1.86,4.78,4.59,3.82,5.64,5.83,2.55,4.66,6.5,9.27
a_0,0.95,1.21,1.12,1.28,0.85,,4.47,6.2,3.28,6.25,5.35,6.41,10.19,22.6,5.25,8.92
e_0,1.48,1.2,0.26,1.33,0.65,0.97,5.11,4.94,3.88,6.15,5.59,6.04,9.67,8.87,24.43,8.7
g_0,0.92,1.67,0.84,1.09,0.97,1.13,3.47,4.04,1.57,4.99,6.72,8.96,5.04,6.13,7.28,3.74
