,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.96,0.91,0.51,0.57,0.54,0.42,0.4,0.39,0.45,0.37,0.41,0.27,0.27,0.3,0.19,0.27
e_1,0.59,0.96,0.55,0.72,0.58,0.4,0.43,0.39,0.61,0.39,0.39,0.37,0.3,0.34,0.25,0.31
d_1,0.74,0.64,0.96,0.48,0.53,0.41,0.46,0.61,0.33,0.34,0.46,0.37,0.34,0.37,0.31,0.31
c_1,0.65,0.56,0.61,0.96,0.89,0.46,0.4,0.35,0.35,0.35,0.3,0.37,0.29,0.35,0.28,0.27
b_1,0.68,0.62,0.64,0.56,0.95,0.75,0.44,0.41,0.37,0.39,0.36,0.37,0.27,0.39,0.3,0.34
a_1,0.83,0.73,0.72,0.67,0.53,0.95,0.54,0.49,0.46,0.44,0.5,0.41,0.34,0.41,0.33,0.36
h_1,1.17,0.96,0.88,0.84,0.73,0.6,0.82,0.58,0.6,0.62,0.6,0.52,0.46,0.47,0.4,0.51
c_0,1.06,1.0,0.91,0.85,0.73,0.65,0.7,0.77,0.63,0.61,0.88,0.53,0.59,0.53,0.44,0.5
d_0,0.95,0.87,0.82,1.42,0.94,0.62,0.63,0.51,0.76,0.59,0.56,0.55,0.48,0.52,0.4,0.48
g_1,0.97,0.83,1.25,0.92,0.85,0.67,0.64,0.67,0.55,0.81,0.58,0.75,0.46,0.49,0.45,0.47
b_0,1.03,1.05,0.96,1.07,0.73,0.62,0.68,0.61,0.71,0.63,0.76,0.57,0.73,0.54,0.41,0.49
f_0,1.11,0.88,1.01,1.03,0.98,0.73,0.71,0.67,0.66,0.53,0.59,0.75,0.49,0.57,0.8,0.49
a_0,1.25,1.09,1.08,1.0,0.91,0.67,0.77,0.72,0.73,0.61,0.67,0.61,0.71,0.66,0.49,0.59
h_0,1.36,1.13,1.14,1.08,0.92,0.79,0.59,0.73,0.73,0.76,0.72,0.59,0.51,0.53,0.5,0.62
e_0,1.39,0.92,1.03,1.09,1.06,0.86,0.78,0.74,0.73,0.73,0.76,0.54,0.55,0.69,0.7,0.55
g_0,1.21,1.06,1.47,1.11,0.93,0.78,0.78,0.8,0.7,0.58,0.69,0.76,0.53,0.6,0.6,0.51
