,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.29,2.48,1.74,2.79,2.11,1.9,8.7,8.36,9.54,19.09,9.87,9.82,12.3,16.6,8.1,14.65
f_1,3.7,6.29,1.95,2.25,1.74,2.26,7.14,7.42,9.76,11.33,10.46,6.22,11.88,14.98,8.83,13.14
d_1,2.03,2.46,6.52,1.63,2.33,2.23,8.63,8.5,18.69,6.29,12.17,11.16,10.94,16.17,11.95,17.62
c_1,1.93,1.74,2.22,6.62,4.22,2.25,7.73,7.41,4.94,9.62,6.24,11.6,7.75,15.96,12.17,15.37
b_1,2.06,2.6,2.14,1.99,7.05,4.31,7.74,7.93,10.27,9.41,8.26,10.39,8.83,16.17,12.49,15.19
a_1,2.25,2.21,2.6,2.67,1.99,10.67,8.2,8.39,8.66,9.96,11.43,10.33,7.49,17.24,10.57,16.68
h_1,2.09,3.18,2.65,2.73,2.27,2.3,16.7,10.9,10.17,10.14,11.32,10.36,12.62,13.24,10.56,23.23
g_1,1.86,2.11,3.76,2.69,2.45,2.2,9.34,21.41,10.77,8.59,11.43,17.53,11.36,16.65,14.99,15.14
c_0,2.49,2.9,2.76,1.96,1.95,2.2,9.19,10.15,19.68,10.79,22.44,13.64,18.13,21.25,14.37,20.58
d_0,2.37,2.51,1.31,4.54,2.73,2.43,8.56,8.35,7.39,18.97,10.09,12.62,10.21,15.35,12.15,17.24
b_0,2.26,2.79,2.73,2.74,1.68,1.98,8.38,8.86,13.88,10.62,21.66,13.28,27.61,22.43,14.11,18.39
f_0,2.11,2.18,2.93,2.58,2.82,2.6,9.35,9.76,11.92,9.59,12.67,21.73,10.19,19.76,28.14,19.47
a_0,2.35,2.53,2.58,3.13,2.17,1.62,8.86,9.58,11.23,13.59,11.79,13.25,26.63,20.83,13.04,20.5
h_0,2.46,3.39,2.61,2.37,2.57,1.89,6.48,11.23,10.97,11.79,10.95,9.47,10.49,12.21,12.86,22.35
e_0,1.71,2.73,3.17,2.41,2.6,2.77,8.98,8.93,13.42,10.82,13.41,12.8,13.71,22.32,29.0,19.73
g_0,2.02,2.17,3.89,2.32,2.6,2.15,8.0,7.21,12.24,9.64,10.56,18.7,9.65,17.44,18.34,15.21
