,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.77,3.1,2.44,3.49,2.85,2.78,9.81,21.55,11.87,9.97,14.21,12.88,22.88,15.22,10.44,19.33
f_1,4.41,6.09,2.48,2.83,2.37,2.62,10.76,14.17,12.29,9.4,13.46,9.32,18.73,14.21,10.04,20.33
d_1,2.68,3.06,6.77,1.93,2.84,2.9,11.16,8.64,22.47,10.75,16.69,14.02,21.38,15.85,15.22,21.76
c_1,2.3,2.64,2.65,7.25,5.26,3.09,9.37,12.97,7.74,9.58,10.02,12.0,19.9,11.83,13.56,19.51
b_1,2.48,2.75,2.74,2.76,8.18,5.62,9.46,12.44,11.81,11.27,9.34,15.02,18.56,11.0,16.94,18.01
a_1,2.89,3.34,2.56,2.83,2.83,10.53,11.26,14.32,12.19,8.2,12.93,11.27,20.83,11.58,16.26,23.27
h_1,2.81,3.78,3.42,2.87,2.68,2.44,18.42,12.02,15.04,13.55,14.31,14.45,18.52,17.49,14.83,27.98
d_0,2.88,3.09,2.06,5.0,3.41,3.02,9.65,18.5,9.36,10.11,12.82,13.24,22.98,14.32,14.21,21.42
c_0,3.09,3.56,3.35,2.14,2.61,3.15,12.88,11.86,20.65,11.84,24.22,14.8,20.99,20.53,16.68,24.98
g_1,2.41,2.67,4.69,2.81,2.73,3.31,11.47,11.35,15.02,23.68,14.0,20.91,22.41,14.11,22.4,17.6
b_0,3.06,3.17,3.41,3.18,2.25,2.51,12.16,13.54,15.42,11.48,21.43,14.1,24.03,29.41,16.55,23.2
f_0,2.18,2.86,3.49,3.48,3.06,3.11,11.83,13.9,14.55,12.34,16.47,24.11,24.6,18.02,32.04,22.29
h_0,2.87,3.67,3.23,3.15,3.17,2.92,9.99,12.7,13.65,15.06,14.11,15.06,17.01,14.83,16.9,27.46
a_0,3.09,3.29,3.16,3.29,2.92,1.89,11.73,12.56,13.28,11.56,13.6,15.98,25.03,31.02,14.66,22.87
e_0,2.36,3.32,3.24,2.93,3.19,3.19,12.44,12.96,14.79,12.32,18.08,17.31,22.7,18.69,31.8,21.63
g_0,2.71,2.57,4.42,2.91,3.13,2.69,11.5,10.91,14.63,8.85,15.25,20.97,21.02,18.37,19.87,19.93
