,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.8,1.12,0.52,0.57,0.57,0.54,0.98,0.87,0.93,0.86,0.38,0.87,0.9,0.67,1.01,0.74
e_1,0.71,2.82,0.75,0.52,0.51,0.66,0.83,0.76,1.69,0.85,1.05,1.02,0.89,0.51,0.98,0.99
c_1,0.61,0.52,2.97,0.61,1.16,0.42,0.98,0.86,0.87,0.36,0.94,0.63,1.06,1.05,0.87,1.0
d_1,0.71,0.53,0.49,3.13,0.58,0.44,0.92,0.88,0.44,1.95,1.04,1.0,1.06,0.96,0.86,1.21
b_1,0.59,0.55,0.69,0.56,3.45,1.25,0.94,0.74,0.75,0.78,0.83,0.37,0.83,0.92,0.81,0.86
a_1,0.62,0.7,0.72,0.63,0.48,5.2,0.82,0.97,0.87,0.62,1.07,1.18,0.94,1.21,0.39,0.77
h_1,1.01,0.69,0.74,0.79,0.64,0.64,2.95,1.49,1.0,0.99,1.02,1.03,0.65,1.26,0.93,1.4
g_1,0.65,0.55,0.67,1.32,0.68,0.69,0.9,3.74,0.95,1.12,1.78,1.24,1.02,1.08,1.21,0.65
d_0,0.71,0.77,1.42,0.32,0.71,0.8,0.96,1.13,2.03,0.81,1.26,1.19,1.21,1.1,1.3,1.08
c_0,0.91,0.75,0.51,0.93,0.43,0.72,0.99,1.11,1.14,2.41,1.17,2.6,1.39,1.31,1.33,1.52
f_0,0.42,0.59,0.91,0.93,0.83,0.77,1.05,1.02,1.25,1.14,2.74,1.36,1.32,2.42,0.94,1.13
b_0,0.77,0.75,0.74,1.03,0.31,0.48,1.05,1.36,1.13,1.21,1.13,2.96,1.51,1.15,2.53,1.16
h_0,0.99,0.72,0.79,0.86,0.72,0.59,0.73,1.62,1.13,1.15,1.14,1.21,0.81,1.18,1.42,1.6
e_0,0.85,0.33,0.8,0.89,0.77,0.75,1.05,1.31,1.04,1.43,1.35,1.68,1.42,3.5,1.39,1.29
a_0,0.76,0.67,0.87,0.98,0.64,0.38,1.28,1.23,1.09,1.18,1.02,1.29,1.36,0.99,3.5,1.43
g_0,0.61,0.66,0.66,1.24,0.8,0.64,0.98,0.74,0.91,1.18,1.9,1.28,1.35,1.51,1.21,0.75
