,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.32,0.58,0.45,0.81,0.55,0.49,0.82,1.0,0.76,1.94,1.06,1.05,0.93,0.96,0.54,1.04
f_1,1.26,15.83,0.51,0.6,0.41,0.37,0.94,0.66,0.72,0.81,0.92,0.29,0.79,0.94,0.78,0.82
d_1,0.44,0.61,18.59,0.39,0.65,0.68,0.83,1.0,2.32,0.41,1.09,0.88,1.24,1.08,1.07,0.85
c_1,0.5,0.55,0.56,18.64,1.39,0.44,0.71,0.74,0.28,0.85,0.55,1.1,0.78,0.9,1.13,0.97
b_1,0.42,0.51,0.65,0.53,19.87,1.47,0.93,0.74,0.76,0.73,0.34,1.05,1.08,0.53,0.98,0.92
a_1,0.55,0.66,0.61,0.5,0.47,28.31,1.07,0.87,1.05,0.99,0.95,0.92,1.03,0.55,0.94,1.13
h_1,0.73,1.22,0.67,0.71,0.54,0.72,5.23,1.7,1.21,0.99,1.25,1.08,0.56,1.25,0.98,1.48
g_1,0.5,0.57,1.53,0.79,0.63,0.72,0.99,5.88,1.18,0.9,1.11,2.24,1.38,1.14,1.2,0.66
c_0,0.78,0.75,0.9,0.44,0.45,0.9,1.29,0.96,3.24,1.25,3.68,1.28,1.21,1.38,1.31,1.21
d_0,0.88,0.76,0.29,1.97,0.69,0.54,1.13,1.15,0.78,2.98,1.42,1.36,1.16,0.98,1.19,1.37
b_0,0.65,0.81,0.95,0.73,0.33,0.6,1.34,1.46,1.28,1.05,3.48,1.45,1.34,3.54,1.28,1.16
f_0,0.57,0.42,0.96,0.9,0.72,0.93,1.17,1.48,1.14,1.08,1.52,3.22,1.49,1.21,2.46,1.08
h_0,0.76,1.12,1.05,0.78,0.52,0.6,0.67,1.5,1.14,1.03,1.33,0.99,0.76,0.86,1.19,1.9
a_0,0.74,0.76,0.88,0.63,0.85,0.32,1.24,1.44,1.3,1.37,1.46,1.34,1.5,4.11,1.04,1.27
e_0,0.38,0.89,0.72,0.98,0.76,0.7,1.44,1.13,1.33,1.65,1.19,1.19,1.33,1.07,4.36,1.48
g_0,0.56,0.64,1.44,0.92,0.73,0.68,0.84,0.76,1.16,0.98,1.55,2.53,0.96,1.42,1.05,0.71
