,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.48,1.28,1.37,1.82,1.54,1.32,2.97,5.08,3.12,3.22,3.22,3.59,3.91,4.75,2.7,3.69
d_1,1.38,2.53,1.56,1.27,1.36,1.39,2.79,2.74,4.85,2.6,3.95,3.36,4.27,3.68,4.1,3.95
f_1,2.2,1.3,2.52,1.64,1.28,1.45,2.35,3.04,2.83,2.69,2.83,2.3,3.98,3.69,2.67,2.99
c_1,1.36,1.4,1.45,2.54,2.53,1.35,2.92,2.31,2.44,2.74,2.35,3.22,3.76,3.61,3.1,2.85
b_1,1.46,1.56,1.61,1.16,2.74,2.71,2.9,3.0,3.01,2.89,2.43,3.15,4.15,4.09,3.19,2.93
a_1,1.6,1.56,1.64,1.58,1.03,3.29,3.23,3.47,3.14,3.17,3.64,3.88,4.09,4.3,3.47,2.99
h_1,1.48,1.63,1.99,1.49,1.45,1.45,4.26,3.07,2.99,3.71,3.23,3.27,3.48,4.98,3.27,3.79
d_0,1.28,1.09,1.68,2.56,1.8,1.48,3.28,4.23,2.33,3.11,3.36,3.18,3.9,3.74,3.12,3.91
c_0,1.59,1.58,1.7,1.51,1.39,1.56,2.99,3.83,4.32,2.82,5.24,3.79,4.37,4.51,3.8,4.53
g_1,1.13,2.09,1.38,1.59,1.63,1.4,2.77,2.96,3.48,4.66,3.6,4.61,3.7,3.68,4.06,3.47
b_0,1.5,1.58,1.87,1.73,1.36,1.26,3.32,3.14,2.99,2.86,4.61,3.41,4.61,4.84,3.25,6.15
f_0,1.34,1.8,1.34,1.62,1.61,1.56,3.21,3.59,3.5,2.84,3.84,4.64,4.53,4.45,5.7,3.85
h_0,1.59,1.6,1.93,1.63,1.39,1.44,2.68,3.55,3.06,3.75,3.22,3.52,3.55,5.16,3.03,3.36
g_0,1.34,2.21,1.46,1.64,1.49,1.47,2.83,3.04,3.36,3.11,2.94,4.6,3.74,3.57,3.43,3.5
e_0,1.08,1.65,1.79,1.63,1.72,1.61,3.41,3.12,3.54,2.83,3.83,3.33,4.97,4.68,5.5,4.06
a_0,1.36,1.55,1.61,1.88,1.61,1.49,2.98,3.34,3.23,3.31,3.06,3.47,4.81,4.29,3.48,5.38
