,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.68,0.36,0.35,0.31,0.2,0.34,0.24,0.38,0.32,0.34,0.19,0.33,0.21,0.15,0.26
e_1,0.46,0.92,0.33,0.47,0.34,0.23,0.37,0.25,0.59,0.37,0.32,0.27,0.35,0.24,0.16,0.28
d_1,0.48,0.41,0.92,0.31,0.32,0.22,0.39,0.31,0.27,0.61,0.42,0.3,0.39,0.27,0.25,0.32
c_1,0.44,0.39,0.36,0.91,0.59,0.24,0.35,0.32,0.37,0.2,0.21,0.27,0.34,0.21,0.21,0.22
b_1,0.43,0.39,0.38,0.4,0.91,0.45,0.33,0.29,0.34,0.31,0.24,0.3,0.36,0.18,0.22,0.23
a_1,0.47,0.4,0.39,0.42,0.34,0.88,0.39,0.3,0.37,0.37,0.31,0.31,0.4,0.23,0.22,0.29
h_1,0.58,0.47,0.47,0.39,0.33,0.22,0.65,0.4,0.35,0.35,0.37,0.32,0.31,0.21,0.24,0.38
g_1,0.38,0.34,0.65,0.41,0.38,0.24,0.4,0.63,0.32,0.37,0.32,0.43,0.39,0.25,0.27,0.27
d_0,0.48,0.45,0.3,0.68,0.4,0.25,0.41,0.3,0.51,0.24,0.29,0.3,0.35,0.21,0.23,0.26
c_0,0.51,0.5,0.51,0.34,0.26,0.22,0.44,0.35,0.38,0.56,0.65,0.3,0.46,0.34,0.25,0.37
b_0,0.48,0.5,0.48,0.43,0.27,0.21,0.43,0.34,0.41,0.4,0.57,0.31,0.43,0.48,0.23,0.34
f_0,0.35,0.34,0.48,0.48,0.39,0.31,0.42,0.38,0.36,0.32,0.38,0.53,0.45,0.29,0.51,0.36
h_0,0.58,0.46,0.46,0.37,0.34,0.23,0.35,0.39,0.34,0.37,0.35,0.3,0.35,0.24,0.24,0.37
a_0,0.5,0.43,0.42,0.41,0.38,0.25,0.43,0.35,0.43,0.34,0.38,0.31,0.42,0.48,0.24,0.32
e_0,0.53,0.36,0.41,0.41,0.43,0.27,0.41,0.35,0.36,0.33,0.39,0.36,0.47,0.27,0.47,0.32
g_0,0.43,0.45,0.58,0.4,0.32,0.24,0.4,0.31,0.35,0.36,0.41,0.49,0.4,0.25,0.29,0.28
