,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.95,0.82,0.69,0.98,0.69,0.62,0.94,0.85,1.63,0.94,1.02,0.96,0.95,0.98,1.06,0.71
f_1,1.24,2.01,0.71,0.71,0.64,0.68,0.82,0.88,0.92,0.8,1.03,0.53,0.94,0.91,0.79,0.71
d_1,0.72,0.81,2.32,0.65,0.62,0.74,1.07,0.96,0.62,1.66,1.2,1.07,1.04,1.0,1.06,1.04
c_1,0.67,0.69,0.72,2.29,1.4,0.6,0.92,0.95,0.93,0.56,0.62,1.0,0.88,0.95,0.81,0.94
b_1,0.69,0.85,0.78,0.65,2.59,1.48,0.88,0.87,0.73,0.93,0.57,0.95,0.98,0.73,0.83,0.95
a_1,0.76,0.75,0.91,0.69,0.77,3.72,0.99,0.86,0.93,1.07,0.88,1.12,1.16,0.59,1.11,1.15
h_1,0.78,1.09,0.87,0.83,0.83,0.6,2.07,1.43,0.98,0.86,1.16,0.98,0.83,1.2,1.39,1.0
g_1,0.7,0.74,1.3,0.78,0.72,0.77,1.09,2.46,0.74,0.86,1.09,1.65,1.05,1.08,0.93,1.33
d_0,0.75,0.79,0.57,1.51,0.93,0.68,1.01,0.93,1.57,0.81,0.96,1.02,1.22,1.06,1.04,1.19
c_0,0.87,0.98,0.83,0.72,0.6,0.86,1.07,1.09,1.13,1.73,2.09,1.05,1.15,1.19,1.2,1.37
b_0,0.88,0.92,0.93,0.99,0.5,0.49,1.24,1.27,1.06,1.03,2.0,1.23,1.03,2.27,1.24,1.25
f_0,0.72,0.63,0.92,0.96,0.82,0.83,1.18,1.21,1.0,1.08,1.18,2.15,1.28,1.29,1.43,2.23
h_0,0.83,1.18,0.9,0.79,0.78,0.75,0.76,1.39,0.8,0.99,1.11,1.02,0.71,1.07,1.66,1.07
a_0,0.81,0.9,0.99,1.01,0.69,0.47,1.14,1.08,1.08,1.12,1.24,1.22,1.28,2.52,1.21,1.13
g_0,0.79,0.87,1.28,0.8,0.65,0.85,0.97,0.9,0.76,1.0,1.23,1.61,1.06,1.27,1.0,1.24
e_0,0.52,0.85,0.97,0.92,0.88,0.86,1.21,1.24,1.04,1.12,1.1,1.13,1.23,1.34,1.2,2.55
