,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.14,10.63,9.91,11.31,10.75,8.54,2.05,3.06,2.84,2.14,8.78,2.33,1.07,1.9,1.84,2.0
e_1,6.21,1.14,11.97,11.23,10.29,13.39,3.67,3.37,2.35,2.12,2.97,2.8,1.7,2.44,9.9,1.55
d_1,11.31,12.61,1.14,11.74,11.2,10.23,3.22,2.35,12.37,2.03,1.83,1.83,1.56,1.95,2.37,0.94
c_1,13.69,12.79,13.94,1.14,13.38,13.99,3.58,4.01,1.33,11.46,2.36,2.46,1.92,2.54,2.28,2.04
b_1,18.64,13.21,17.75,7.58,1.15,14.89,4.64,4.68,2.83,3.52,2.96,16.3,2.55,2.94,3.19,2.14
a_1,21.2,30.48,24.44,27.19,10.88,1.15,5.57,4.74,3.88,6.25,5.68,5.72,3.3,18.62,4.49,3.12
h_1,26.13,33.87,26.83,30.69,21.93,22.98,1.91,7.98,5.71,5.2,4.57,5.98,9.83,6.52,4.34,3.7
g_1,34.04,28.58,28.32,30.69,33.87,33.23,7.03,1.92,6.82,7.28,6.24,6.4,3.22,9.77,6.66,9.55
d_0,44.17,16.48,87.02,38.27,25.25,54.74,8.92,12.44,2.68,8.6,6.94,6.48,4.63,7.52,4.95,8.46
c_0,36.37,29.98,17.4,281.82,56.94,35.79,13.17,11.47,9.03,2.65,5.79,8.41,5.76,8.69,7.42,5.02
f_0,103.06,33.56,31.58,34.83,49.56,46.52,12.77,8.53,7.03,8.14,2.57,7.47,7.33,7.98,7.42,4.42
b_0,34.35,36.22,36.41,57.41,167.25,42.3,12.58,11.65,7.95,3.73,9.21,2.56,5.37,10.29,7.15,4.85
h_0,65.09,49.43,47.57,64.58,53.52,44.31,39.52,17.48,14.21,11.05,9.37,9.61,18.32,10.86,9.41,10.57
a_0,53.0,53.79,48.88,54.39,116.35,,18.04,12.23,10.77,8.04,14.05,5.55,7.9,2.77,11.35,8.97
e_0,70.0,140.69,45.74,50.0,54.61,51.69,16.6,14.68,15.18,9.67,5.98,12.23,10.89,9.31,2.84,7.59
g_0,88.33,71.73,68.62,75.61,92.28,80.91,17.66,56.46,15.9,12.38,9.86,11.96,7.6,12.61,19.3,
