,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,13.61,6.98,18.76,11.64,13.89,3.66,3.54,2.69,1.99,2.85,3.27,2.12,2.48,,1.99
d_1,17.98,0.17,13.66,13.54,18.58,12.63,3.97,1.89,2.17,,2.26,2.07,2.56,2.36,2.83,1.0
f_1,12.71,14.91,0.16,11.0,14.03,14.22,2.98,3.86,2.63,2.42,,2.37,1.07,2.65,2.32,2.29
c_1,12.51,14.89,16.3,0.15,17.37,11.3,2.47,6.07,,1.13,2.72,2.47,1.82,2.98,3.37,1.7
b_1,15.95,14.73,13.58,5.97,0.14,12.35,3.62,3.0,3.08,2.36,2.51,,1.53,3.72,,1.99
a_1,11.75,10.1,17.56,12.32,6.32,0.1,3.67,4.41,2.99,3.07,,3.77,2.75,,1.56,1.94
h_1,3.55,3.73,3.21,3.15,2.94,4.28,0.07,0.84,0.59,0.58,0.69,0.76,,0.57,0.57,0.52
g_1,3.54,3.51,3.24,6.07,3.79,3.09,0.81,0.06,0.66,1.24,0.52,0.63,0.29,0.89,0.58,
c_0,2.55,1.26,2.71,,3.48,3.15,0.66,0.73,0.08,0.95,0.48,0.47,0.28,0.62,0.62,0.46
d_0,1.39,,2.24,2.39,2.6,2.21,0.8,0.84,0.57,0.08,0.63,0.72,0.33,0.57,0.38,0.39
f_0,2.16,2.4,,2.15,2.61,,0.69,0.46,0.53,0.5,0.07,0.66,0.44,,0.56,0.25
b_0,2.51,2.76,2.62,5.13,,2.38,0.61,0.54,0.29,0.52,0.62,0.07,0.52,0.6,0.53,0.23
h_0,1.74,1.47,1.66,1.6,1.17,2.38,,0.8,0.55,0.32,0.31,0.25,,0.25,0.29,0.25
a_0,3.0,3.33,2.42,2.53,2.69,,0.8,0.89,0.46,0.61,,0.21,0.33,0.05,,0.36
e_0,,2.26,3.48,2.98,,1.91,1.11,0.77,0.5,0.69,0.21,0.77,0.33,,0.05,0.36
g_0,2.58,2.13,1.87,1.58,1.62,1.41,0.28,,0.38,0.47,0.37,0.42,0.17,0.25,0.36,
