,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.49,0.68,0.47,0.49,0.42,0.3,0.48,0.56,0.51,0.51,0.45,0.24,0.61,0.47,0.54,0.38
e_1,0.47,1.5,0.43,0.48,0.42,0.4,0.48,1.01,0.47,0.51,0.59,0.58,0.61,0.35,0.63,0.3
d_1,0.58,0.5,1.53,0.34,0.45,0.36,0.55,0.2,0.4,0.97,0.57,0.48,0.52,0.59,0.47,0.43
c_1,0.48,0.47,0.52,1.54,0.71,0.36,0.48,0.4,0.55,0.19,0.46,0.64,0.55,0.51,0.46,0.42
b_1,0.49,0.49,0.44,0.46,1.59,0.76,0.56,0.66,0.47,0.53,0.23,0.49,0.48,0.36,0.58,0.37
a_1,0.6,0.5,0.54,0.49,0.31,1.76,0.91,0.67,0.68,0.5,0.77,0.52,0.8,0.26,0.52,0.46
h_1,1.01,0.78,0.82,0.83,0.61,0.33,1.68,0.71,0.99,0.78,0.74,0.71,0.54,0.6,0.97,0.73
d_0,0.73,0.59,0.48,1.47,0.68,0.61,1.07,1.51,0.72,0.79,0.96,0.89,0.83,0.58,1.01,0.99
g_1,0.7,0.8,1.2,0.63,0.76,0.35,0.72,0.78,1.78,0.94,0.87,1.26,0.95,0.73,0.5,0.75
c_0,0.88,0.82,0.64,0.62,0.68,0.73,0.86,0.83,0.85,1.53,1.47,0.97,1.12,0.83,1.04,0.86
b_0,0.93,0.81,0.84,0.83,0.46,0.52,0.97,0.81,0.74,0.8,1.53,0.85,1.0,1.42,0.86,0.82
f_0,0.43,0.64,1.01,0.83,0.77,0.68,1.03,0.98,0.8,0.96,1.12,1.61,1.01,0.94,0.77,1.47
h_0,0.97,0.8,0.98,0.75,0.81,0.53,0.64,0.92,0.91,0.78,1.0,0.87,0.57,0.76,1.01,0.71
a_0,0.78,1.04,0.76,0.87,0.83,0.41,1.1,0.97,0.87,0.94,0.82,0.97,1.03,1.65,1.22,0.83
g_0,0.83,0.72,1.17,0.99,0.67,0.67,0.87,0.85,,0.81,1.04,1.22,0.95,0.66,0.57,0.73
e_0,0.83,0.47,0.81,1.14,1.01,0.59,0.92,0.95,0.92,0.92,1.32,0.93,1.31,0.74,1.19,1.72
