,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.1,1.77,2.95,3.15,3.07,2.75,0.92,0.93,0.68,0.6,0.6,0.83,0.42,0.6,0.46,0.96
f_1,2.66,1.1,2.77,3.16,2.62,2.91,0.62,0.98,0.65,0.55,0.56,0.93,0.3,0.59,0.41,0.56
d_1,3.71,3.51,1.1,3.39,3.07,2.89,0.95,0.62,1.19,0.75,0.66,0.7,0.45,0.59,0.33,0.61
c_1,2.64,3.59,3.81,1.11,3.71,3.64,0.96,0.99,0.4,0.88,0.65,0.6,0.49,0.62,0.51,0.61
b_1,4.29,4.39,4.64,2.21,1.12,3.75,1.16,1.25,0.8,1.15,1.56,0.87,0.61,1.01,0.78,0.68
a_1,6.66,6.21,5.8,7.21,2.96,1.13,2.25,1.77,1.59,1.33,1.81,1.24,0.91,2.3,0.82,1.1
h_1,11.15,13.12,10.19,11.64,11.33,10.84,1.61,3.03,2.47,2.18,2.11,2.23,2.27,2.18,1.69,2.03
g_1,15.08,14.02,13.95,13.89,13.33,14.48,2.91,1.6,3.11,2.81,2.45,2.68,1.46,2.41,2.3,2.31
d_0,8.55,14.12,18.58,13.71,17.24,13.43,4.19,5.3,2.02,2.82,3.28,3.02,2.62,2.73,2.88,2.68
c_0,15.02,16.59,8.86,21.78,15.47,13.34,4.73,4.93,3.97,1.99,3.53,3.19,2.4,2.99,2.27,2.95
b_0,16.16,16.82,13.38,27.55,26.03,17.33,4.34,4.58,3.92,1.89,1.96,3.25,2.29,3.28,2.05,3.16
f_0,16.95,28.91,16.5,16.03,16.41,13.53,5.16,3.07,3.9,3.93,3.26,1.9,2.64,3.58,1.68,3.47
h_0,23.69,21.89,20.97,23.53,21.48,17.17,7.91,6.28,4.36,4.35,4.97,4.15,4.85,3.84,3.21,3.63
a_0,22.17,25.52,22.89,26.86,30.76,40.3,6.71,7.1,5.42,4.32,2.83,5.36,3.8,2.21,3.24,3.76
g_0,27.64,34.91,25.8,33.23,31.11,22.07,6.18,9.22,6.31,5.25,5.3,5.16,2.74,5.21,4.45,4.39
e_0,41.01,44.05,26.22,28.78,30.42,24.72,9.3,6.23,5.51,5.2,6.12,3.31,4.54,5.51,3.67,2.51
