,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.5,0.44,0.36,0.56,0.43,0.37,0.58,0.56,0.82,0.47,0.53,0.6,0.66,0.26,0.52,0.56
d_1,0.49,1.51,0.51,0.38,0.45,0.38,0.56,0.49,0.24,0.85,0.61,0.49,0.58,0.49,0.48,0.39
f_1,0.84,0.46,1.52,0.45,0.36,0.31,0.47,0.49,0.6,0.53,0.52,0.18,0.39,0.33,0.4,0.55
c_1,0.41,0.52,0.47,1.56,0.78,0.36,0.51,0.55,0.52,0.18,0.44,0.51,0.64,0.39,0.45,0.46
b_1,0.45,0.48,0.54,0.35,1.61,0.66,0.6,0.55,0.62,0.66,0.31,0.57,0.64,0.47,0.3,0.57
a_1,0.5,0.51,0.62,0.57,0.36,1.73,0.63,0.54,0.45,0.59,0.63,0.55,0.63,0.59,0.2,0.61
h_1,0.64,0.73,1.07,0.61,0.64,0.53,1.69,1.02,0.83,0.93,0.75,0.8,0.68,0.88,0.79,1.2
g_1,0.66,1.11,0.64,0.74,0.61,0.63,0.72,1.7,0.85,0.75,0.86,1.21,0.72,0.8,0.67,0.53
d_0,0.78,0.53,0.69,1.2,0.65,0.8,0.92,0.73,1.49,0.75,0.62,0.8,0.92,0.78,0.66,0.96
c_0,0.92,0.83,0.87,0.53,0.56,0.58,0.81,0.86,0.86,1.55,1.36,1.01,1.08,0.81,0.73,0.87
b_0,0.7,0.81,0.92,0.83,0.31,0.64,0.98,0.81,1.13,0.85,1.6,1.01,0.97,0.72,1.39,0.91
f_0,0.73,0.95,0.52,0.85,0.78,0.57,0.95,0.64,1.08,0.74,0.87,1.59,1.27,1.41,0.75,0.99
h_0,0.61,0.86,1.28,0.73,0.71,0.7,0.36,1.18,0.91,0.97,1.05,0.87,0.6,0.8,0.67,0.95
e_0,0.41,0.9,1.03,0.91,0.78,0.67,0.8,1.19,1.17,0.95,1.21,0.85,1.27,1.72,0.86,0.96
a_0,0.79,0.84,1.02,0.84,0.93,,0.85,0.92,1.27,0.89,0.91,1.19,1.28,0.8,1.71,0.87
g_0,0.64,1.34,0.73,0.91,0.63,0.65,0.84,0.6,0.98,0.9,0.96,1.23,1.26,0.99,0.85,0.58
