,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.58,1.08,0.5,0.63,0.55,0.54,2.2,1.94,2.55,3.11,3.14,0.78,2.96,4.39,2.01,3.53
e_1,0.66,5.93,0.57,0.64,0.54,0.49,1.98,2.54,3.13,5.29,3.11,2.93,3.41,4.01,0.74,3.15
d_1,0.64,0.56,6.06,0.7,0.49,0.63,2.0,2.25,4.91,0.81,2.81,2.63,2.78,4.34,3.15,4.74
c_1,0.61,0.52,0.46,6.75,1.27,0.57,2.29,1.89,0.55,2.26,2.53,3.04,3.05,4.62,3.24,5.05
b_1,0.54,0.53,0.66,0.5,7.48,1.08,2.81,2.16,2.8,2.6,0.92,3.81,2.41,3.87,3.31,3.5
a_1,0.51,0.54,0.75,0.69,0.63,11.23,2.36,1.81,2.68,2.97,2.3,2.37,,4.18,2.95,5.89
h_1,1.41,0.97,1.02,1.04,0.89,1.03,14.33,4.26,4.35,4.39,4.6,5.2,5.83,3.95,5.6,10.61
g_1,0.72,0.89,1.66,0.96,0.88,1.23,3.73,18.47,5.72,4.66,4.76,7.58,5.13,7.27,6.77,3.01
c_0,1.39,1.18,1.07,0.29,0.88,1.12,3.79,3.32,14.12,5.78,11.24,5.22,5.18,7.54,5.34,8.0
d_0,1.25,0.9,0.43,1.95,0.84,1.13,3.69,4.32,4.11,14.13,5.28,5.75,5.81,7.87,5.18,7.19
b_0,1.27,0.97,1.28,1.08,0.42,0.59,4.55,4.46,5.32,6.84,16.42,5.85,8.88,10.43,5.95,9.48
f_0,0.63,0.92,1.52,1.01,1.19,0.98,3.95,3.46,4.73,5.45,7.46,17.3,5.43,7.65,10.02,8.09
a_0,1.07,1.25,1.21,1.26,0.77,,4.49,4.96,5.64,4.68,4.65,6.1,20.27,10.14,5.16,6.64
h_0,1.46,0.97,1.35,1.02,0.96,0.79,1.14,4.54,4.64,4.78,4.23,5.88,4.43,3.14,5.48,8.98
e_0,1.59,0.3,1.33,1.23,1.21,0.71,3.63,3.77,6.26,4.13,4.66,5.38,4.35,9.35,24.22,9.13
g_0,0.96,0.81,1.71,0.95,1.16,1.03,3.71,1.29,5.49,4.71,4.8,8.64,6.11,6.64,5.48,2.71
