,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.89,0.17,0.16,0.22,0.14,0.09,0.16,0.16,0.31,0.14,0.18,0.14,0.17,0.05,0.11,0.13
d_1,0.19,0.89,0.21,0.12,0.14,0.11,0.17,0.17,0.07,0.31,0.16,0.19,0.17,0.11,0.12,0.11
f_1,0.37,0.18,0.89,0.16,0.11,0.09,0.15,0.12,0.17,0.15,0.04,0.15,0.12,0.06,0.09,0.12
c_1,0.17,0.19,0.18,0.88,0.3,0.1,0.14,0.15,0.17,0.04,0.13,0.11,0.16,0.08,0.08,0.1
b_1,0.16,0.18,0.2,0.14,0.88,0.22,0.16,0.16,0.17,0.16,0.15,0.06,0.17,0.1,0.05,0.12
a_1,0.18,0.21,0.22,0.19,0.12,0.87,0.16,0.15,0.13,0.17,0.13,0.16,0.16,0.12,0.03,0.12
h_1,0.22,0.25,0.32,0.18,0.19,0.12,0.56,0.25,0.18,0.2,0.16,0.15,0.12,0.15,0.12,0.24
g_1,0.21,0.36,0.19,0.2,0.17,0.13,0.17,0.54,0.19,0.18,0.28,0.17,0.18,0.15,0.1,0.1
d_0,0.25,0.14,0.2,0.39,0.18,0.15,0.19,0.17,0.42,0.14,0.17,0.13,0.2,0.15,0.1,0.19
c_0,0.27,0.31,0.26,0.11,0.13,0.12,0.2,0.2,0.17,0.43,0.18,0.33,0.22,0.14,0.15,0.15
f_0,0.21,0.31,0.13,0.23,0.19,0.12,0.2,0.19,0.25,0.2,0.43,0.16,0.25,0.28,0.11,0.2
b_0,0.22,0.27,0.27,0.21,0.07,0.12,0.22,0.17,0.23,0.22,0.19,0.43,0.24,0.12,0.29,0.17
h_0,0.19,0.27,0.35,0.2,0.17,0.15,0.09,0.27,0.21,0.2,0.18,0.2,0.09,0.13,0.11,0.2
e_0,0.11,0.3,0.23,0.23,0.19,0.14,0.21,0.24,0.26,0.19,0.2,0.21,0.26,0.4,0.13,0.18
a_0,0.22,0.25,0.26,0.24,0.18,0.04,0.21,0.17,0.25,0.17,0.21,0.22,0.26,0.14,0.39,0.16
g_0,0.19,0.4,0.2,0.22,0.16,0.11,0.22,0.12,0.21,0.18,0.29,0.16,0.25,0.17,0.12,0.08
