,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.06,1.37,1.97,2.45,2.13,1.73,0.79,0.74,0.77,0.61,0.61,0.73,0.48,0.52,0.48,0.9
f_1,2.38,1.06,1.96,2.03,2.03,1.47,0.63,0.62,0.8,0.57,0.67,0.71,0.4,0.49,0.55,0.47
d_1,2.2,2.2,1.05,2.3,1.98,2.02,0.81,1.0,0.57,0.73,0.61,0.65,0.46,0.57,0.32,0.51
c_1,1.98,2.46,2.68,1.06,2.46,1.84,0.95,0.43,0.84,0.86,0.64,0.59,0.51,0.55,0.49,0.46
b_1,2.7,2.83,2.89,1.49,1.06,2.63,1.13,0.78,0.92,1.09,1.19,0.77,0.57,0.64,0.56,0.73
a_1,3.24,4.36,3.48,3.29,1.72,1.07,1.07,1.05,1.62,0.96,0.97,0.91,0.92,1.54,0.74,0.72
h_1,5.72,6.56,5.56,5.29,4.84,4.91,1.32,1.8,2.28,1.57,1.7,1.58,1.78,1.38,1.57,1.58
d_0,4.5,6.44,10.02,7.05,6.54,5.39,2.53,1.5,2.39,2.0,1.79,1.83,1.56,1.82,1.55,1.83
g_1,7.29,6.69,6.06,6.49,6.7,5.34,2.04,2.23,1.31,1.89,2.13,2.02,1.21,1.67,1.86,1.68
c_0,6.93,7.17,4.15,9.4,6.07,7.02,2.62,2.97,2.31,1.47,2.47,2.24,1.66,1.79,1.76,2.0
b_0,7.11,6.46,6.86,8.42,8.93,7.18,2.57,2.48,2.45,1.29,1.45,2.13,1.48,1.94,1.61,1.62
f_0,7.11,11.03,7.3,7.5,6.67,6.09,2.62,2.27,1.94,2.03,1.94,1.47,1.54,1.71,1.17,2.17
h_0,8.88,9.04,8.76,9.17,9.45,6.46,4.11,2.61,3.49,2.44,2.59,2.71,2.67,1.87,2.13,2.17
a_0,11.39,10.69,8.9,9.54,12.08,11.76,4.32,2.8,3.52,2.6,1.89,3.02,2.81,1.59,2.32,3.15
g_0,9.76,10.55,11.18,10.78,11.59,8.59,2.75,3.21,4.92,2.51,2.67,2.95,1.93,2.63,2.6,3.27
e_0,13.93,12.89,11.14,10.46,8.55,9.54,3.33,2.86,3.28,2.74,2.85,1.8,2.44,2.6,1.72,1.58
